RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NWH;;NN-16-FFU 8;NN-16-FFU 8
N 848;NWH-FFU;;
N 898;NWH-FFU;;
NNB;NWH-FFU;;
NES;NWH-FFU;;
NHW;NWH-FFU;;
NRB;NWH-4-NAH 10;;
N 208;NWH-NAH;;
N 258;NWH-NAH;;
N 207;NWH-NAH;;
N 257;NWH-NAH;;
N 255;NWH-NAH;;
N205B;NWH-NAH;;
NNAN;NWH-NAH;;
N202B;NGM-NAH;;
N201B;NGM-NAH;;
NLO;NAN-53-NAH;;
N101A;NGM-NAH;;
N102A;NGM-NAH;;
NPAR;NGM-2-NAH;;
N 107;NGM-NAH;;
N 108;NGM-NAH;;
NWI;NGM-1-NAH;;
N 121;NGM-NAH;;
N 122;NGM-NAH;;
NHEI;NGM-2-NAH;;
NHEIW;NGM-2-NAH;;
N137B;NGM-NAH;;
N138D;NGM-NAH;;
N139B;NGM-NAH;;
N140B;NGM-NAH;;
NLA;NGM-3-NAH;;
YFMLH;NGM-NAH;;
N149A;NLA-NHOE;;
N150A;NLA-NHOE;;
NHOE;NLA-123-NAH_G;;
N911A;NHOE-NAH_G;;
N912C;NHOE-NAH;;
NAH G;NHOE-909-NAH;;
N903A;NAH_G-NAH;;
N904A;NAH_G-NAH;;
NAH;;NHOE-8-FKO-3660;NHOE-8-FKO-3660
