RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NNR A;;NNLW-310/742-NNR B;NNLW-310/742-NNR B
NNR B;NNR A(5950)-742-NHMA(5950);;
NHMA;NNR B-722-NF;;
N 710;NHMA-NF;;
N 709;NHMA-NF;;
NNGR;NNR B-203-NF;;
NF  G;NHMA-12/42-NF 8;;
NF;NF  G-42/4-NWH;;
N  1K;NF-NWH;;
N  2G;NF-NWH;;
N 401;NF-NWH;;
NFUF;NF-NWH;;
NFUA;NF-402-NWH;;
N  4E;NF-NWH;;
N  3D;NF-NWH;;
N  6C;NF-NWH;;
NFBB;NF-513-NWH;;
N  9C;NF-NWH;;
N 10D;NF-NWH;;
NSDF;NF-1-NWH;;
N 15B;NF-NWH;;
N 16B;NF-NWH;;
NPU;NF-NWH;;
N 19A;NF-NWH;;
N 18B;NF-NWH;;
N 21C;NF-NWH;;
N 20B;NF-NWH;;
NHBU;NF-2-NWH;;
N 27D;NF-NWH;;
N 26E;NF-NWH;;
NEK;NF-2-NWH;;
N 33B;NF-NWH;;
N 34C;NF-NWH;;
N 35B;NF-NWH;;
N 36B;NF-NWH;;
N 38C;NF-NWH;;
N 37C;NF-NWH;;
N 40C;NF-NWH;;
NNAM;NF-NWH;;
NNA;NF-2-NWH;;
N 47B;NF-NWH;;
N 48B;NF-NWH;;
N 49B;NF-NWH;;
N 50B;NF-NWH;;
NLD;NF-102-NWH;;
N 55B;NF-NWH;;
N 56C;NF-NWH;;
N 57A;NF-NWH;;
N 58A;NF-NWH;;
NMB;NF-1-NWH;;
N 67B;NF-NWH;;
N 68B;NF-NWH;;
NHZM;NF-NWH;;
N 71B;NF-NWH;;
N 72C;NF-NWH;;
N 73B;NF-NWH;;
N 74A;NF-NWH;;
NMEI;NF-1-NWH;;
NI;NF-2-NWH;;
NMM;NF-601-NWH;;
N  91;NF-NWH;;
N  92;NF-NWH;;
NKN;NF-2-NWH;;
N 100;NF-NWH;;
NBM;NF-NWH;;
N 151;NF-NWH;;
N101E;NF-NWH;;
N 152;NF-NWH;;
N102B;NF-NWH;;
N103C;NF-NWH;;
NDEB;NF-1-NWH;;
N 109;NF-NWH;;
N 110;NF-NWH;;
N 111;NF-NWH;;
N 112;NF-NWH;;
NRTD;NF-5-NWH;;
N117A;NF-NWH;;
N118A;NF-NWH;;
N 119;NF-NWH;;
N 120;NF-NWH;;
N121A;NF-NWH;;
N122A;NF-NWH;;
N 123;NF-NWH;;
N 124;NF-NWH;;
N 125;NF-NWH;;
N 126;NF-NWH;;
NWH;;NN-16-FFU 8;NN-16-FFU 8
