RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NNR A;;NNR B-551/352-NNLW(5962);NNR B-551/352-NNLW(5962)
N203B;NNR A-NNLW;;
N202C;NNR A-NNLW;;
NNLW;NNR A(5962-1)-606-NRWD;;
N653A;NNLW-NRWD;;
N652A;NNLW-NRWD;;
NFIN;NNLW-NRWD;;
N655A;NNLW-NRWD;;
N654A;NNLW-NRWD;;
NRWD;NNLW-4-NFT;;
N 174;NN-NRH;;
N 175;NN-NRH;;
NFT;NRWD-101-NRH;;
NFTO;NN-NRH;;
N 24I;NN-NRH;;
N 25M;NN-NRH;;
N 22J;NN-NRH;;
N 23M;NN-NRH;;
NOK;NN-1-NRH;;
N 10G;NN-NRH;;
N  9E;NN-NRH;;
NMIM;NN-NRH;;
N  8A;NN-NRH;;
N  7B;NN-NRH;;
N  6E;NN-NRH;;
N  5D;NN-NRH;;
N  4O;NN-NRH;;
N 53E;NN-NRH;;
N  3H;NN-NRH;;
NBUT;NN-NRH;;
N  2T;NN-NRH;;
N 52C;NN-NRH;;
N  1U;NN-NRH;;
N 26I;NN-NRH;;
N 27E;NN-NRH;;
NOB;NN-NRH;;
N 24G;NN-NRH;;
N 25L;NN-NRH;;
N 22K;NN-NRH;;
N 23L;NN-NRH;;
NPOH;NN-1-NRH;;
N  4P;NN-NRH;;
N  1T;NN-NRH;;
N  2S;NN-NRH;;
N 31E;NN-NRH;;
N 28E;NN-NRH;;
N 29D;NN-NRH;;
N 26G;NN-NRH;;
N 27F;NN-NRH;;
NPG;NN-NRH;;
N 24F;NN-NRH;;
N 25H;NN-NRH;;
N 22L;NN-NRH;;
N 23K;NN-NRH;;
NNT;NN-05-NRH;;
N  4H;NN-NRH;;
N  3G;NN-NRH;;
N  2R;NN-NRH;;
N  1O;NN-NRH;;
N 24E;NN-NRH;;
N 74D;NN-NRH;;
N 25G;NN-NRH;;
N 22F;NN-NRH;;
N 23E;NN-NRH;;
NDE;NN-NRH;;
N 53A;NN-NRH;;
N  3F;NN-NRH;;
N  4G;NN-NRH;;
N  1N;NN-NRH;;
N  2P;NN-NRH;;
N 52D;NN-NRH;;
N 25F;NN-NRH;;
NBH;NN-NRH;;
N 22E;NN-NRH;;
N 23D;NN-NRH;;
NSF;NN-1-NRH;;
N  2O;NN-NRH;;
N 23F;NN-NRH;;
NPB;NN-1-NRH;;
N  2N;NN-NRH;;
N  1M;NN-NRH;;
N 24D;NN-NRH;;
N 25E;NN-NRH;;
NMSM;NN-NRH;;
N 22D;NN-NRH;;
N 23C;NN-NRH;;
NBE;NN-1-NRH;;
N  4F;NN-NRH;;
N  1P;NN-NRH;;
N  2M;NN-NRH;;
N 27C;NN-NRH;;
NLB;NN-NRH;;
N 74E;NN-NRH;;
N 24C;NN-NRH;;
N 75A;NN-NRH;;
N 25C;NN-NRH;;
N 22C;NN-NRH;;
N 23G;NN-NRH;;
NDN;NN-NRH;;
NUDF;NN-1-NRH;;
N  6B;NN-NRH;;
N  5B;NN-NRH;;
NET;NN-NRH;;
N  4D;NN-NRH;;
N  2Q;NN-NRH;;
N  3C;NN-NRH;;
NRPF;NN-NRH;;
NRH B;NN-319/249-NRH;;
NRH;NRH B-9-NOT H2;;
NROB;;NRH-1-NOT;NRH-1-NOT
