RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BWE;;BWP-731-LGZ;BWP-731-LGZ
YBLWG;BWE-LB;;
L 941;BWE-LB;;
L 943;BWE-LB;;
L1904;BWE-LB;;
L1902;BWE-LB;;
L1905;BWE-LB;;
L1907;BWE-LB;;
L1906;BWE-LB;;
L1908;BWE-LB;;
LGZ;BWE-1501-LB;;
L1913;LWE-LB;;
L1915;BWE-LB;;
LGOE;BWE-LB;;
L1917;BWE-LB;;
L1919;BWE-LB;;
L1918;BWE-LB;;
L1920;BWE-LB;;
L1921;BWE-LB;;
L1923;BWE-LB;;
L1922;BWE-LB;;
L1924;BWE-LB;;
L1929;BWE-LB;;
L1931;BWE-LB;;
L1930;BWE-LB;;
L1932;BWE-LB;;
L1934;BWE-LB;;
L1936;BWE-LB;;
LB  G;BWE-1101-LBZ(1201);;
LB;BWE-1201-LBZ 16 Durchfahrt;;
L1939;LB-LBZ;;
L1937;LB-LBZ;;
L1938;LB-LBZ;;
L1940;LB-LBZ;;
L1941;LB-LBZ;;
L1943;LB-LBZ;;
L1942;LB-LBZ;;
L1944;LB-LBZ;;
L1945;LB-LBZ;;
L1947;LB-LBZ;;
L1946;LB-LBZ;;
L1948;LB-LBZ;;
L1949;LB-LBZ;;
L1951;LB-LBZ;;
L1950;LB-LBZ;;
L1952;LB-LBZ;;
LKIM;LB-1701-LBZ;;
LWUZ;LB-1801-LBZ;;
L2901;LB-LBZ;;
L2903;LB-LBZ;;
L2902;LB-LBZ;;
L2904;LB-LBZ;;
LQWU;LB-LBZ;;
LKE;LB-LBZ;;
L2905;LB-LBZ;;
L2907;LB-LBZ;;
L2906;LB-LBZ;;
L2908;LB-LBZ;;
L2913;LB-LBZ;;
L2915;LB-LBZ;;
L2914;LB-LBZ;;
L2916;LB-LBZ;;
LGN;LB-2201-LBZ;;
L2921;LGN-LBZ;;
L2923;LGN-LBZ;;
L2922;LGN-LBZ;;
L2924;LGN-LBZ;;
L2925;LGN-LBZ;;
L2927;LGN-LBZ;;
L2930;LGN-LBZ;;
L2932;LGN-LBZ;;
L2933;LGN-LBZ;;
L2935;LGN-LBZ;;
L2934;LGN-LBZ;;
L2936;LGN-LBZ;;
LGSN;LGN-2501-LBZ;;
L2937;LGN-LBZ;;
L2939;LGN-LBZ;;
L2941;LGN-LBZ;;
L2943;LGN-LBZ;;
L2942;LGN-LBZ;;
L2944;LGN-LBZ;;
L2949;LGN-LBZ;;
L2951;LGN-LBZ;;
L2950;LGN-LBZ;;
L2952;LGN-LBZ;;
L2954;LGN-LBZ;;
L2956;LGN-LBZ;;
LBU;LGN-2601-LBZ;;
L2961;LGN-LBZ;;
L2963;LGN-LBZ;;
L2962;LGN-LBZ;;
L2964;LGN-LBZ;;
LMOS;LGN-2701-LBZ;;
L2973;LGN-LBZ;;
L2975;LGN-LBZ;;
L2974;LGN-LBZ;;
L2976;LGN-LBZ;;
LGWS;LGN-2801-LBZ;;
LBZ;LGN-1-LM;;
L3229;LBZ-LM;;
L3227;LBZ-LM;;
L3224;LBZ-LM;;
L3226;LBZ-LM;;
L3225;LBZ-LM;;
L3223;LBZ-LM;;
LMHR;LBZ-LM;;
L3220;LBZ-LM;;
L3222;LBZ-LM;;
LBRC;LBZ-LM;;
LMN;LBZ-4-LM(6110);;
LM;LBZ-12-LEI(71);;
LMS;;LM-3801-LEI;LM-3801-LEI
