RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LS  G;;LS-605/705-LSW;LS-605/705-LSW
L901S;LS-LSW;;
L902S;LS-LSW;;
LSFD;LS-LSW;;
LKD H;LS-LSW;;
LKD;LS-22-LSW;;
LHWU;LS-33-LSW;;
L903S;LS-LSW;;
LMF;LS-LSW;;
L904S;LS-LSW;;
LBRP;LS-42-LSW;;
L905S;LS-LSW;;
L906S;LS-LSW;;
LFL;LS-LSW;;
LRAD;LS-0511-LSW;;
L907S;LS-LSW;;
LPRZ;LS-LSW;;
L908S;LS-LSW;;
LSW G;LS-133-LSW;;
LSW;LSWG-13-HU;;
L909S;LSW-HU;;
L910S;LSW-HU;;
L911S;LSW-HU;;
L912S;LSW-HU;;
LQSW;LSW-HU;;
HSCG;LSW-3-HU;;
H913S;LSW-HU;;
YLHSN;LSW-HU;;
H914S;YLHSN-HDSK;;
HSDK;H914S-H916W;;
H916W;HSDK-H915S;;
H915S;H916W-HWRN;;
HWRN;HSDK-3-HSTF;;
HSTF;HWRN-HU G;;
H917S;HSTF-H918U;;
H918U;H917U-HU  G;;
HU  G;HWRN-201-HU(6899-1);;
HU;HU G(6899-1)-301-ALBG Gz;;
H61UE;HU-ALBG;;
H62EU;HU-ALBG;;
H63UE;HU-ALBG;;
H163B;HU-ALBG;;
H64EU;HU-ALBG;;
H65UB;HU-ALBG;;
H67UB;HU-ALBG;;
H70UB;HU-ALBG;;
H170U;HU-ALBG;;
A71BB;HU-ALBG;;
A072B;HU-ALBG;;
ABVS;HU-1-ALBG;;
A81BB;HU-ALBG;;
A082B;HU-ALBG;;
A83BB;HU-ALBG;;
A084B;HU-ALBG;;
A85BB;HU-ALBG;;
A086B;HU-ALBG;;
ABIL;HU-1-ALBG;;
A91DE;HU-ALBG;;
A092D;HU-ALBG;;
A93DE;HU-ALBG;;
A094D;HU-ALBG;;
ADEV;HU-2-ALBG;;
A101L;HU-ALBG;;
A100L;HU-ALBG;;
ALBGG;HU-102-ALBG;;
ALBG;ALBGG-102/202-ASTE (1720);;
ALBGN;ALBG-272-ASTE (1720);;
AB111;ALBG-ASTE;;
AB113;ALBG-ASTE;;
A213B;ALBG-ASTE;;
A212L;ALBG-ASTE;;
A115B;ALBG-ASTE;;
A214L;ALBG-ASTE;;
ABAD;ALBG-1-ASTE;;
AR121;ALBG-ASTE;;
A222B;ALBG-ASTE;;
AR123;ALBG-ASTE;;
A224B;ALBG-ASTE;;
AR125;ALBG-ASTE;;
A225R;ALBG-ASTE;;
A226B;ALBG-ASTE;;
ARH;ALBG-2-ASTE;;
A131W;ALBG-ASTE;;
A132W;ALBG-ASTE;;
A133W;ALBG-ASTE;;
A134W;ALBG-ASTE;;
AWI;ALBG-1-ASTE;;
A141A;ALBG-ASTE;;
A142A;ALBG-ASTE;;
AASN;ALBG-103-ASTE(1281);;
ASTE;AASN(1281)-5-AM S;;
AM  S;;ASTE(1281)-2002-AM  W(1280-1);ASTE(1281)-2002-AM  W(1280-1)
