RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LHG;;LHGU-38-LHAL(6349);LHGU-38-LHAL(6349)
LHG Y;LHG(6349)-212-LHGW;;
LHG W;LHG(6349)-212-LHAL;;
LHAL;LHG-LGOS(6403);;
LKAN;LH-LGOS;;
L8112;LH-LGOS;;
L8111;LH-LGOS;;
LGOS;LH(6403)-4-LSD;;
LGOSS;LH(6403)-LSD;;
LGKL;LDI-LSD;;
L3113;LDI-LSD;;
L3126;LDI-LSD;;
LQGK;LGOS-LSD;;
LSDW;LDI-LSD;;
LSD;LGOS-1-LLW(6403);;
L3117;LDI-LLW;;
L3322;LDI-LLW;;
LLW L;LSD(6403)-3-LLW;;
LLW U;LSD-3-LLW;;
LLW;LLWU-3-LWI;;
LWI;LLW-25-LLMO;;
LLMO;LWI-2-LLS;;
LLT;LLMO-3-LLS;;
LLS;LLT-7-LE;;
LE  V;LLS-LE;;
LE  K;LEV-1/11-LE;;
LE;LE-88/126-LBOR H126;;
LEO;LE(6369 W439)-3-LBOR(6363);;
L5413;LEO-LBOR;;
L5423;LEO-LBOR;;
L5524;LEO-LBOR;;
L5514;LEO-LBOR;;
LBOR;LEO-5501-LWZ;;
LGE;LBOR-LWZ;;
L117W;LBOR-LWZ;;
L115W;LBOR-LWZ;;
L116W;LBOR-LWZ;;
L118W;LBOR-LWZ;;
LMAC;LBOR-LWZ;;
LMAU;LBOR-LWZ;;
LALT;LBOR-LWZ;;
L143W;LBOR-LWZ;;
L141W;LBOR-LWZ;;
L242W;LBOR-LWZ;;
L244W;LBOR-LWZ;;
LWZW;LBOR-LWZ;;
LWZ;LBOR-0201/0241-LDH H0241;;
LKUH;LWZ-LDH;;
LDH;LWZ-0301-LDA;;
LDA;LDH-0401-DOT;;
DOT;LDA-0501-DR;;
DBT;DOT-DR;;
D 575;DOT-DR;;
D 578;DOT-DR;;
DR  R;LBOR-2/2-DRA;;
DR;LBOR-2-DRA;;
DRA;DR(6363)-DZN;;
DZN;DR-1-DPR;;
DGLA;DR-DCW;;
DNUN;DR-DCW;;
DWIG;DR-2-DCW;;
DLEW;DR-DPR;;
DPR;DR-161/1-DCW;;
D571P;DPR-DCW;;
D682P;DPR-DCW;;
D131P;DPR-DCW;;
D242P;DPR-DCW;;
DNDR;DPR-1-DCW;;
DWEW;DPR-DCW;;
D 483;DPR-DCW;;
D 486;DPR-DCW;;
DCW B;DPR-1-DCW;;
DCW;DPR-7-DF(6249);;
DRBA;DCW(6249)-DF(6248);;
DRBN;DRBA-DF;;
DNI;DRBA-DF;;
DPUM;DRBA-DF;;
DCB;DRBA-2-DF;;
DSTT;DRBA-DF;;
DKE;DRBA-DF;;
DCT;DRBA-DF;;
DCTA;DRBA-DF(6248);;
DF;;DRBA-202-DH;DRBA-202-DH
