RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LHG U;;LHG-39-LHGM;LHG-39-LHGM
LHG M;LHGU-150-LK;;
LZBR;LH-LK;;
LBI;LH-LK;;
LNM;LH-2-LK;;
LSTF;LH-2-LK;;
LWG;LH-LK;;
LAF;LH-LK;;
LK  R;LH-8-LK;;
LK  C;LH-8-LK;;
LK  D;LH-8-LK;;
LK;LKD(6403)-8/8-LCBO;;
LOSM;LK-LCBO;;
LWU;LK-LCBO;;
LSAD;LK-2-LCBO;;
L0340;LSAD-LCBO;;
L0341;LSAD-LCBO;;
LCBO;LK-2102-LSEE;;
LSEE;LCBO-LSB;;
L0130;LSEE-LSB;;
L0132;LSEE-LSB;;
LGND;LSEE-LSB;;
L0131;LSEE-LSB;;
L0129;LSEE-LSB;;
L5527;LSEE-LSB;;
L5525;LSEE-LSB;;
LSBF;LSEE-LSB;;
L5526;LSEE-LSB;;
L5528;LSEE-LSB;;
LSB;LSEE-2-LMSO(6403);;
LSB G;LSB(6403)-2-LMSO(6403);;
LSBO;LSB G-LMSO;;
L5518;LSB G-LMSO;;
L5511;LSB G-LMSO;;
LMSO;LSB(6403)-2-LMB;;
LMSA;LMSO-LMB;;
L5118;LMSO-LMB;;
L5116;LMSO-LMB;;
L5115;LMSO-LMB;;
L5117;LMSO-LMB;;
LMB F;LMSO-LMB(6403);;
LMTW;LMSO-LMB;;
LMB;LSB(6403)-1-LM(6403) ab 7/2013;;
LM  S;LSB-2-LM;;
LM;LSB-6-LGLB(6406);;
LMN;LM(6406)-5-LMR;;
LMR;LMN-B4/B3-LMRF;;
LMR F;;LMR-A8-LGLB;LMR-A8-LGLB
