RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BHG;;XPWE-3-BHC;XPWE-3-BHC
BSAE;BHG-1-BHC;;
BNY;BSAE-2-BHC;;
BPE;BSAE-BHC;;
BMC;BSAE-2-BHC;;
BKL;BSAE-2-BHC;;
BUS;BSAE-1-BHC;;
BLOH;BSAE-2-BHC;;
BKN;BSAE-1-BHC;;
BHWN;BKN-BHC;;
BHW;BKN-2-BHC;;
BHW W;BKN-102-BHC;;
BSKL;BKN-3-BHC;;
BLA;BKN-BHC;;
BQLA;BKN-BHC;;
BHC;BKN-3-BRU;;
BSWB;BHC-BRU;;
BRU;BHC-4-BEB;;
BBAE;BRU-BEB;;
BLH;BRU-2-BEB;;
BPFA;BRU-BEB;;
BPFB;BRU-BEB;;
BP;BRU-BEB;;
BEB;BRU-2-LF bis 4/2013;;
BZA;BEB-LF;;
BBLW;BEB-2-LF;;
BWK;BEB-1-LF;;
LF  F;BEB-6s-LFU;;
LF  S;BEB-6S-LFU;;
LF  U;LFU-6M/6N-LFN(6207);;
LF  N;;LFU(6207)-6N-LW;LFU(6207)-6N-LW
