RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
TK  S;;TK W-7-TSU;TK W-7-TSU
TSZA;TK S-662-TSU;;
TSZAH;TKH-TSU;;
TSM;TKH-2-TSU;;
T414S;TSZA-TSU;;
T413S;TSZA-TSU;;
TSEB;TKH-TSU;;
TSU;TSM-202-Pbf;;
TSU P;TSU-100/4-TP;;
TSOM;TS/F-4-TP/F;;
T 51F;TS-TP;;
TEMEF;TS/F-TP/F;;
T 50F;TS-TP;;
TE;TS/F-4-TP/F;;
T101F;TS/F-TP/F;;
T102F;TS/F-TP/F;;
TOESF;TS/F-TP/F;;
T103F;TS/F-TP/F;;
T104F;TS/F-TP/F;;
T105F;TS/F-TP/F;;
T106F;TS/F-TP/F;;
T107F;TS/F-TP/F;;
TEZLF;TS/F-TP/F;;
T108F;TS/F-TP/F;;
T109F;TS/F-TP/F;;
T110F;TS/F-TP/F;;
TACHF;TS/F-TP/F;;
TP;TS/F-2/4-TU;;
T117P;TP-TU;;
T119P;TP-TU;;
T123P;TP-TU;;
T121P;TP-TU;;
T120P;TP-TU;;
T125P;TP-TU*1;;
T127P;TP-TU*1;;
T242P;TP-TU*2;;
T244P;TP-TU*1;;
TRF;TP-TU;;
T293P;TP-TU*1;;
T291P;TP-TU*1;;
T262P;TP-TU*1;;
T264P;TP-TU*1;;
T131P;TP-TU;;
T133P;TP-TU;;
T130P;TP-TU;;
T132P;TP-TU;;
TEC;TP-1-TU;;
T143P;TP-TU;;
T141P;TP-TU;;
T140P;TP-TU;;
T142P;TP-TU;;
TUH;TP-1-TU;;
T151P;TP-TU;;
T153P;TP-TU;;
T152P;TP-TU;;
T150P;TP-TU;;
TFAU;TP-TU;;
T155P;TP-TU;;
T157P;TP-TU;;
T156P;TP-TU;;
T154P;TP-TU;;
TGO;TP-6-TU;;
T161P;TP-TU;;
T163P;TP-TU;;
T160P;TP-TU;;
TEF;TP-2-TU;;
T171P;TP-TU;;
T173P;TP-TU;;
T172P;TP-TU;;
T170P;TP-TU;;
TSAL;TP-TU;;
T175P;TP-TU;;
T177P;TP-TU;;
T174P;TP-TU;;
TSD;TP-2-TU;;
T181P;TP-TU;;
T180P;TP-TU;;
TGI;TP-TU;;
T195P;TP-TU;;
T194P;TP-TU;;
TKUC;TP-TU;;
TGW;TP-101-TU;;
TG;TP-2-TU;;
T201G;TP-TU;;
T211G;TP-TU;;
T210G;TP-TU;;
T200G;TP-TU;;
T203G;TP-TU;;
T213G;TP-TU;;
T212G;TP-TU;;
T202G;TP-TU;;
TAM;TP-2-TU;;
T205G;TP-TU;;
T215G;TP-TU;;
T204G;TP-TU;;
TURS;TP-TU;;
T207G;TP-TU;;
T217G;TP-TU;;
T206G;TP-TU;;
TLON;TP-TU;;
T209G;TP-TU;;
T219G;TP-TU;;
T208G;TP-TU;;
TWS;TP-3-TU;;
TWSH;TP-TU;;
T331G;TP-TU;;
T333G;TP-TU;;
T330G;TP-TU;;
TBS;TP-2-TU;;
T341G;TP-TU;;
T335G;TP-TU;;
T340G;TP-TU;;
T334G;TP-TU;;
T343G;TP-TU;;
T337G;TP-TU;;
T336G;TP-TU;;
T342G;TP-TU;;
TUOE;TP-TU;;
T347G;TP-TU;;
T346G;TP-TU;;
TU  N;TP-TU R;;
TU  R;;TP-512;TP-512
