RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
TU  R;;25/38-TU 13;25/38-TU 13
TU;Rbf-13-F-MA;;
TQUF;TU-MA;;
MNM;TU-2-MA;;
M170U;TU-MNFG;;
M169U;TU-MNFG;;
M168U;TU-MNFG;;
M167U;TU-MNFG;;
M166U;TU-MNFG;;
M165U;TU-MNFG;;
MNSG;TU-1-MNFG;;
MUFH;TU-3-MNFG;;
M162U;TU-MNFG;;
M161U;TU-MNFG;;
M160U;TU-MNFG;;
M159U;TU-MNFG;;
MLEH;TU-MNFG;;
M158U;TU-MNFG;;
M157U;TU-MNFG;;
M156U;TU-MNFG;;
M155U;TU-MNFG;;
MGZB;TU-2-MNFG;;
M154U;MGZB-MNFG;;
M153U;MGZB-MNFG;;
M152U;MGZB-MNFG;;
M151U;MGZB-MNFG;;
MNFG;TU-5-MA;;
YKMNO;MNFG-MDKS;;
MOFF;TU-2-MA;;
M  20;TU-MA;;
M  21;TU-MA;;
M  18;TU-MA;;
M  19;TU-MA;;
MMAH;TU-MA;;
M  17;TU-MA;;
M  16;TU-MA;;
M  15;TU-MA;;
MBGU;TU-1-MA;;
M  14;TU-MA;;
M  13;TU-MA;;
MJET;TU-MA;;
M  12;TU-MA;;
M  11;TU-MA;;
MFHU;TU-1-MA;;
MFHD;TU-MA;;
M   6;TU-MA;;
M   5;TU-MA;;
M   4;TU-MA;;
M  3B;TU-MA;;
M  2B;TU-MA;;
M  1A;TU-MA;;
MDKS;TU-4-MA;;
M 124;TU-MA;;
M 125;TU-MA;;
M 122;TU-MA;;
M 123;TU-MA;;
M120A;TU-MA;;
M 121;TU-MA;;
M118A;TU-MA;;
MKUN;TU-MA;;
M119A;TU-MA;;
MGHN;MNFG-2-MA;;
M114A;TU-MA;;
M 115;TU-MA;;
M112A;TU-MA;;
MDID;TU-MA;;
M113A;TU-MA;;
M110A;TU-MA;;
M111A;TU-MA;;
MWHS;TU-2-MA;;
MNES;TU-MA;;
MAHI;MDKS-2-MA;;
MAOB;MAHI-2-MA(5302-2);;
MA;TU(FB)-4/218-MAHZ 10;;
MAHA;MA-MP;;
MAHZF;MA-2-MP;;
M638A;MA-MP;;
M637A;MA-MP;;
M636A;MA-MP;;
M635A;MA-MP;;
M634A;MA-MP;;
M633A;MA-MP;;
M 632;MA-MP;;
M 631;MA-MP;;
M 630;MA-MP;;
M 629;MA-MP;;
MMRU;MA-MP;;
M626A;MA-MP;;
M625A;MA-MP;;
M624A;MA-MP;;
M623A;MA-MP;;
M622A;MA-MP;;
M621A;MA-MP;;
M620A;MA-MP;;
M619A;MA-MP;;
M618A;MA-MP;;
M617A;MA-MP;;
M616A;MA-MP;;
M615A;MA-MP;;
M614A;MA-MP;;
M 613;MA-MP;;
M 612;MA-MP;;
M 611;MA-MP;;
M 610;MA-MP;;
M608A;MA-MP;;
M609A;MA-MP;;
M606A;MA-MP;;
M607A;MA-MP;;
M 604;MA-MP;;
M605A;MA-MP;;
MOL;MA(5503)-3-MN  L 8;;
M503A;MOL-MMBH;;
YMMOL;MOL-MMBH;;
M 502;MOL-MMBH;;
MN  F;MOL-MN  M;;
MN  M;;MN  F-MN  S;MN  F-MN  S
