RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EHRBS;;EHRBW-440-590-EHRBR(7457);EHRBW-440-590-EHRBR(7457)
EHRBR;EHRBS-590-EHRBN(2911);;
EHRBN;EHRBR(2911)-EHM(2250);;
EHM;EHRBN-713--EFMK(2931);;
EFMK;EHM-ELEC;;
EBCK;EFMK-2-ELEC;;
E21A;EFMK-ELEC;;
E22A;EFMK-ELEC;;
EMES;EFMK-2-ELEC;;
EDRS;EFMK-ELEC;;
E622A;EFMK-ELEC;;
E621A;EFMK-ELEC;;
ERIK;EFMK-601-ELEC;;
E641;EFMK-ELEC;;
E642;EFMK-ELEC;;
EHIT;;EFMK-553-ELEC;ELEC-553-EFMK
E642;ELEC-EFMK;;
E641;ELEC-EFMK;;
ERIK;ELEC-602-EFMK;;
E621A;ELEC-EFMK;;
E622A;ELEC-EFMK;;
EDRS;ELEC-EFMK;;
EMES;ELEC-1-EFMK;;
E22A;ELEC-EFMK;;
E21A;ELEC-EFMK;;
EBCK;ELEC-1-EFMK;;
EFMK;ELEC-EHM;;
EHM;EFMK(2931)-704-EGAB(2930);;
EGAB;EHM-ESOT;;
ERHY;EHM-501-ESOT;;
EWVE;EHM-ESOT;;
EWVA;EHM-ESOT;;
E801D;EHM-ESOT;;
EBOR;EHM-ESOT;;
E802D;EHM-ESOT;;
ESOT;EDO(2930)-2-EPD;;
E 748;ESOT-EPD;;
EBSA;ESOT-EPD;;
E 749;ESOT-EPD;;
E 753;ESOT-EPD;;
E 747;ESOT-EPD;;
E 752;ESOT-EPD;;
E 746;ESOT-EPD;;
EBEH;ESOT-1-EPD;;
E 744;ESOT-EPD;;
ELPPG;ESOT-32-EPD;;
ELPP;ESOT-2-EPD;;
EDED;ESOT-EPD;;
E 743;ESOT-EPD;;
E 741;ESOT-EPD;;
E 742;ESOT-EPD;;
E 740;ESOT-EPD;;
EERI;ESOT-EPD;;
EGK;ESOT-1-EPD;;
ESZK;ESOT-701-EPD;;
E 715;ESOT-EPD;;
ESMD;ESOT-EPD;;
E 714;ESOT-EPD;;
E 415;ESOT-EPD;;
E 414;ESOT-EPD;;
E 413;ESOT-EPD;;
E 412;ESOT-EPD;;
EPD G;ESOT-24-EPD;;
EPD;ESOT-20-HA;;
E 402;EPD-HA;;
HBNS;EPD-3-HA;;
H16BA;EPD-HA;;
H15AB;EPD-HA;;
H14BA;EPD-HA;;
H13AB;EPD-HA;;
H12BA;EPD-HA;;
H11AB;EPD-HA;;
HA;;EPD-01-HLAN;EPD-01-HLAN
