RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FKR;;FKW-352-FKRB;FKW-352-FKRB
FKRB;FKR-FOV;;
FOV;FKRB-1-FMHF;;
FMHF;FOV-602-FGSN;;
F102A;FMHF-FGSN;;
F101C;FMHF-FGSN;;
FIM;FMHF-FGSN;;
F094A;FMHF-FGSN;;
F093A;FMHF-FGSN;;
FGSN;FMHF-3-FHFG;;
F074B;FGSN-FHFG;;
F073B;FGSN-FHFG;;
FHFG;FGSN-1-FHMM;;
F054A;FHFG-FHMM;;
F053A;FHFG-FHMM;;
FHMM;FHFG-2-FLR;;
F042A;FHMM-FLR;;
F041A;FHMM-FLR;;
FLR;FHMM-2-HWAR;;
F018A;FLR-HWAR;;
F017A;FLR-HWAR;;
FLIB;FLR-1-HWAR;;
HQWA;FLR-HWAR;;
H006A;FLR-HWAR;;
H005A;FLR-HWAR;;
HWAR;FLR-4-15-HBNB-4;;
H018A;HWAR-HBNB;;
H118B;HWAR-HBNB;;
H017A;HWAR-HBNB;;
H117A;HWAR-HBNB;;
H016A;HWAR-HBNB;;
H015A;HWAR-HBNB;;
HBNB;HWAR-1-HWBD;;
H012A;HBNB-HWBD;;
H011A;HBNB-HWBD;;
HWBD;HBNB-502-HBUK;;
H408A;HWBD-HBUK;;
H405A;HWBD-HBUK;;
H404A;HWBD-HBUK;;
H401A;HWBD-HBUK;;
H402A;HWBD-HBUK;;
H307A;HWBD-HBUK;;
H308A;HWBD-HBUK;;
H305A;HWBD-HBUK;;
H304A;HWBD-HBUK;;
H301A;HWBD-HBUK;;
H302A;HWBD-HBUK;;
HBUK;HWBD-2-HAAK;;
YDFAB;HWAR-HA;;
H01AB;HWAR-HA;;
HAAK;HWAR-HA(Gl.23);;
HA;;HWAR(2970)-23-EPD(1760);HWAR(2970)-23-EPD(1760)
