RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EOB N;EOB-EOSD;;
EOSD;EOB-401-EWES;;
EOHT;EOSD-EWES;;
E 607;EOSD-EWES;;
E 657;EOSD-EWES;;
E 606;EOSD-EWES;;
E 656;EOSD-EWES;;
EDIN;EOSD-304-EWES;;
EVD;EOSD-EWES;;
EVDU;EOSD-EWES;;
E2620;EOSD-110-EWES;;
E6623;EOSD-110-EWES;;
E2621;EOSD-110-EWES;;
E2622;EOSD-110-EWES;;
EFFD;EOSD-110-EWES;;
E2623;EOSD-110-EWES;;
E2624;EOSD-EWES;;
E2625;EOSD-EWES;;
EWES;EOSD-4-EEM H2 (Gz);;
EWFK;EWES-EEM;;
E2631;EWES-EEM;;
E2630;EWES-EEM;;
E2835;EWES-EEM;;
E2834;EWES-EEM;;
EMHO;EWES-102-EEM;;
E2843;EWES-EEM;;
EHAD;EWES-EEM;;
E3046;EWES-EEM;;
EEMP;EWES-2-EEM H1;;
EMIL;EWES-EEM;;
E0147;EWES-EEM;;
E3051;EWES-EEM;;
EPRA;EWES-EEM;;
E3256;EWES-EEM;;
E3255;EWES-EEM;;
E3258;EWES-EEM;;
EEM;EWES-3-EXEM;;
E3359;EEM-EXEM;;
E3362;EEM-EXEM;;
E3361;EEM-EXEM;;
E3364;EEM-EXEM;;
E3363;EEM-EXEM;;
E3366;EEM-EXEM;;
E3368;EEM-EXEM;;
EXEM;EEM-XNZV;;
