RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EHRBS;;EHRBR-560-437-EHRBW;EHRBR-560-437-EHRBW
EHRBW;EHRBS-437-EHRBD(2911);;
EHRBD;EHRBW-ESMA (2911);;
ESMG;EHRBD(2911)-EAU(2910);;
E54B;EHRBD(2910)-EAU(2910);;
E53B;EHRBD(2910)-EAU(2910);;
EAU;EHRB-EUN;;
EBEO;EAU-2-EUN;;
E 36;EAU-EAU;;
E 35;EAU-EUN;;
E 34B;EAU-EUN;;
E 33B;EAU-EUN;;
EUN;EAU-2-EDO;;
E 26;ESOT-EDO;;
E 25;ESOT-EDO;;
E 24;ESOT-EDO;;
E23HU;ESOT-EDO;;
E 22;ESOT-EDO;;
E 21;ESOT-EDO;;
E 20;ESOT-EDO;;
EHZW;EUN-206-ESRT;;
E018H;EHZW- ESRT;;
E 15E;EHZW- ESRT;;
E016H;EHZW- ESRT;;
EHID;EHZW-3- ESRT;;
ESRT;EHZW-2- EKAL 5;;
ESRTF;ESRT-21- EWEF;;
EWEF;ESRT(2843)-4-EHOY;;
EHOY;EWEF-EHGK;;
EHGS;EHOY-EHGE;;
EEIN;EHOY-EREH;;
EHGGO;;EHOY-240-EREH;EHOY-240-EREH
