RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
KG  H;;KG C-324-KGS;KG C-324-KGS
KGS;KG H-KT;;
KPR;KGS-6-KT;;
K0955;KPR-KT;;
K0950;KPR-KT;;
K0959;KPR-KT;;
K0954;KPR-KT;;
K0963;KPR-KT;;
K0958;KPR-KT;;
K8131;KPR-KT;;
K8132;KPR-KT;;
KT  V;KPR-25-KSIB;;
KT  N;KPR-1-KSIB;;
KT;KPW-2-KSIB;;
K8007;KT N-KSIB;;
K8010;KT N-KSIB;;
K9001;KT N-KSIB;;
K9000;KT N-KSIB;;
KSIB;KT N-102-KQAU;;
K9015;KT N-KQAU;;
K9010;KT N-KQAU;;
KHEN;KT N-202-KQAU 12;;
KHES;KT N-KQAU;;
KBLB;KT N-101-KQAU 12;;
KMES;KT N-201-KQAU;;
E 109;KT N-KQAU;;
KEIT;KT N-1-KQAU 12;;
KHEC;KT N-2-KQAU;;
E111H;KT N-KQAU;;
E112H;KQAU-KT N;;
KDAT;KT N-KQAU;;
KSLA;KT N-102-KQAU 12;;
KROS;202 KSIB-KAU;;
E113R;KSIB-KAU;;
E114R;KSIB-KAU;;
KAU;KSIB-1-EBZ;;
KQAU;KAU-EBZ;;
EEZB;KAU-EBZ;;
E 947;KAU-EBZ;;
EEZK;KAU-EBZ;;
E946A;KAU-EBZ;;
EKAU;KAU-EBZ;;
EWIN;KAU-601-EBZ;;
ENDV;KAU-502-EBZ;;
ESCF;KAU-EBZ;;
EBZ;KAU-004-105-ESIE;;
EKIR;EBZ-202-ESIE;;
EFBU;EBZ-ESIE;;
EBRB;EBZ-402-ESIE;;
EMUD;EBZ-ESIE;;
EQND;EBZ-ESIE;;
ENDN;EBZ-302-ESIE;;
ENDO;EBZ-ESIE;;
EEFD;EBZ-ESIE;;
E 986;EBZ-ESIE;;
E 987;EBZ-ESIE;;
ESIE;EBZ-003-ESIG;;
