RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EOBRM;;EOBRO68-EOBRW47;EOBRO68-EOBRW47
EOBRW;OBRM(47)-OBRS;;
EOBRS;OBRW-RTL;;
ERTL;EOBRS-ESI;;
ESI;ERTL-ELOT;;
E 34F;ESI-ELOT;;
ELOT;SBK 34-EDHDO;;
EDHDO;ELOT-3-EDHZ;;
EDHZ;EDHD0-KRH;;
EDHP;EDHZ-KRH;;
K006R;EDHP-KRH;;
K022R;EDHP-KRH;;
K002R;EDHP-KRH;;
K011D;EDHP-KRH;;
K001D;EDHP-KRH;;
KRHO;EDHP-KRH;;
KRH;EDHP-11-KMUH 13;;
KMUH;KRH-KHB;;
KHB;KMUH-KKRL;;
KKRU;KMUH-1-KKRX;;
KKRX;KMUH-KKRL;;
KKRL;KKRX-1-KKRO;;
KKRO;KKRL-1-KKR;;
K401O;KKRO-KKR;;
K402O;KKRO-KKR;;
KKR;KKRL-3-KV 6;;
K210A;KKR-KANR;;
K209K;KKR-KANR;;
K107K;KKR-KANR;;
KFOS;KKR-KANR;;
K108A;KKR-KANR;;
K106A;KKR-KANR;;
K105K;KKR-KANR;;
KANR;KKR-KV;;
K 104;KANR-KV;;
K 103;KANR-KV;;
K112V;KANR-KV;;
K 102;KANR-KV;;
KV;KANR-004-KM;;
KV  G;KKAK-130-KVH;;
KVH;KV-202-KM 12;;
K 302;KV-KM;;
K 303;KV-KM;;
KM;KV-1-KRY P 6;;
E 094;KM-KRY P;;
E493R;KM-KRY P;;
KRY P;KM-3-KRY G;;
KRY G;KM-2-KLDA;;
K2830;KRY G-KAW P;;
KWIC;KRY G-KAW P;;
K2828;KRY G-KAW P;;
K2827;KRY G-KAW P;;
K2725;KRY G-KAW P;;
K2726;KRY G-KAW P;;
KHERN;KRY G-KAW P;;
K2723;KRY G-KAW P;;
K2724;KRY G-KAW P;;
KHER;KRY G-KAW P;;
K2722;KRY G-KAW P;;
K2721;KRY G-KAW P;;
KERZ;KRY G-KAW P;;
K2720;KRY G-KAW P;;
K2719;KRY G-KAW P;;
K2718;KRY G-KAW P;;
K2717;KRY G-KAW P;;
KBAG;KRY G-2-KAW P 16;;
KBA;KRY G-KAW P;;
K2416;KRY G-KAW P;;
K2415;KRY G-KAW P;;
KBRC;KRY G-KAW P;;
KLDA;KRY G-KAW P;;
KLD;KRY G-KAW P;;
K2408;KRY G-KAW P;;
K2407;KRY G-KAW P;;
K2406;KRY G-KAW P;;
K2405;KRY G-KAW P;;
KGEK;KRY G-KAW P 16;;
KUBP;KRY G-KAW P;;
K2204;KRY G-KAW P;;
K2203;KRY G-KAW P;;
K2201;KRY G-KAW P;;
K2202;KRY G-KAW P;;
KNIS;KRY G-2-KAW P;;
KHEZ;KRY G-2-KAW P 12;;
E 850;KRY G-KAW P;;
E 803;KRY G-KAW P;;
KKOS;KRY G-102-KAW P 14;;
KRIC;KRY G-1-KAW P;;
KAW G;KRY G-116-KAW P(2552-1);;
KAW P;;KRY G-14-(2552)KXAW;KRY G-14-(2552)KXAW
