RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
KG  H;;KG C-324-KGS;KG C-324-KGS
KGS;KG H-KT;;
KPR;KGS-6-KT;;
K0955;KPR-KT;;
K0950;KPR-KT;;
K0959;KPR-KT;;
K0954;KPR-KT;;
K0963;KPR-KT;;
K0958;KPR-KT;;
K8131;KPR-KT;;
K8132;KPR-KT;;
KT  V;KPR-31-KFWH;;
KT;KPR-8-KQHB;;
KFWH;KT-41-KKOW;;
KMD;KT-302-KKOW;;
K 133;KT-KKOW;;
K 134;KT-KKOW;;
K 135;KT-KKOW;;
K 137;KT-KKKOW;;
K136B;KT-KKOW;;
KBB;KT-1-KKOW;;
K 139;KT-KKOW;;
K138B;KT-KKOW;;
KBO;KT-202-KKWO;;
KND;KT-2-KKOW;;
KKOW;KT-1-KHBD;;
KRHD;KT-2-KQHB;;
KHBD;KT-2-KNE;;
KQHB;KHBD-YDFHU;;
YDFHU;KT-KNE;;
K013A;KHBD-KUN;;
K014A;KHBD-KUN;;
KUN;KHBD-1-KLI;;
K015E;KUN-KLI;;
K016D;KUN-KLI;;
K017A;KUN-KLI;;
K018A;KUN-KLI;;
KERP;KUN-KLI;;
K019B;KUN-KLI;;
K020B;KUN-KLI;;
KLI;KUN-1-KHGB;;
K117C;KLI-KHGB;;
K118C;KLI-KHGB;;
K119A;KLI-KHGB;;
KLEU;KLI-KHGB;;
K120A;KLI-KHGB;;
K021D;KLI-KHGB;;
K022F;KLI-KHGB;;
K023E;KLI-KHGB;;
K024D;KLI-KHGB;;
KHGB;KLI-1-KRBR;;
KRBR;KHGB-2-KLET;;
K025D;KRBR-KLET;;
K026E;KRBR-KLET;;
K027F;KRBR-KLET;;
K028F;KRBR:KLET;;
K029E;KRBR-KLET;;
K030G;KRBR-KLET;;
K031F;KRBR-KLET;;
K032F;KRBR-KLET;;
KLET;KRBR-1-KNE;;
K429B;KLET-KNE;;
K430A;KLET-KNE;;
K431A;KLET-KNE;;
K432A;KLET-KNE;;
K433A;KLET-KNE;;
K434A;KLET-KNE;;
KNE;KLET-001-KEN_G;;
KNE G;KNE-071S/H1-KRHB;;
K970B;KNE_G-KRHB;;
K977A;KNE_G-KRHB;;
KRHB;KNE_G-KKES;;
KURR;KRHB-1-KKES;;
K974B;KRHB-KKES;;
K973B;KRHB-KKES;;
KKES;KRHB-KKOU;;
KKOU;KKES-KKOLN;;
KKOLN;KKES-4-KKOLM-3011;;
KKOLM;;KKOLN-4-KKOL-3011;KKOLN-4-KKOL-3011
