TOTALWEIGHT;BREAKCLASS;VMAX;TFZ;NUM_TFZ
500;G;30;1016-1;1
600;G;30;1016-1;1
700;G;30;1016-1;1
800;G;30;1016-1;1
900;G;30;1016-1;1
1000;G;30;1016-1;1
1100;G;30;1016-1;1
1200;G;30;1016-1;1
1300;G;30;1016-1;1
1400;G;30;1016-1;1
1500;G;30;1016-1;1
1600;G;30;1016-1;1
1700;G;30;1016-1;1
1800;G;30;1016-1;1
500;P;30;1016-1;1
600;P;30;1016-1;1
700;P;30;1016-1;1
800;P;30;1016-1;1
900;P;30;1016-1;1
1000;P;30;1016-1;1
1100;P;30;1016-1;1
1200;P;30;1016-1;1
1300;P;30;1016-1;1
1400;P;30;1016-1;1
1500;P;30;1016-1;1
1600;P;30;1016-1;1
1700;P;30;1016-1;1
1800;P;30;1016-1;1
500;G;40;1016-1;1
600;G;40;1016-1;1
700;G;40;1016-1;1
800;G;40;1016-1;1
900;G;40;1016-1;1
1000;G;40;1016-1;1
1100;G;40;1016-1;1
1200;G;40;1016-1;1
1300;G;40;1016-1;1
1400;G;40;1016-1;1
1500;G;40;1016-1;1
1600;G;40;1016-1;1
1700;G;40;1016-1;1
1800;G;40;1016-1;1
500;P;40;1016-1;1
600;P;40;1016-1;1
700;P;40;1016-1;1
800;P;40;1016-1;1
900;P;40;1016-1;1
1000;P;40;1016-1;1
1100;P;40;1016-1;1
1200;P;40;1016-1;1
1300;P;40;1016-1;1
1400;P;40;1016-1;1
1500;P;40;1016-1;1
1600;P;40;1016-1;1
1700;P;40;1016-1;1
1800;P;40;1016-1;1
500;G;50;1016-1;1
600;G;50;1016-1;1
700;G;50;1016-1;1
800;G;50;1016-1;1
900;G;50;1016-1;1
1000;G;50;1016-1;1
1100;G;50;1016-1;1
1200;G;50;1016-1;1
1300;G;50;1016-1;1
1400;G;50;1016-1;1
1500;G;50;1016-1;1
1600;G;50;1016-1;1
1700;G;50;1016-1;1
1800;G;50;1016-1;1
500;P;50;1016-1;1
600;P;50;1016-1;1
700;P;50;1016-1;1
800;P;50;1016-1;1
900;P;50;1016-1;1
1000;P;50;1016-1;1
1100;P;50;1016-1;1
1200;P;50;1016-1;1
1300;P;50;1016-1;1
1400;P;50;1016-1;1
1500;P;50;1016-1;1
1600;P;50;1016-1;1
1700;P;50;1016-1;1
1800;P;50;1016-1;1
500;G;60;1016-1;1
600;G;60;1016-1;1
700;G;60;1016-1;1
800;G;60;1016-1;1
900;G;60;1016-1;1
1000;G;60;1016-1;1
1100;G;60;1016-1;1
1200;G;60;1016-1;1
1300;G;60;1016-1;1
1400;G;60;1016-1;1
1500;G;60;1016-1;1
1600;G;60;1016-1;1
1700;G;60;1016-1;1
1800;G;60;1016-1;1
500;P;60;1016-1;1
600;P;60;1016-1;1
700;P;60;1016-1;1
800;P;60;1016-1;1
900;P;60;1016-1;1
1000;P;60;1016-1;1
1100;P;60;1016-1;1
1200;P;60;1016-1;1
1300;P;60;1016-1;1
1400;P;60;1016-1;1
1500;P;60;1016-1;1
1600;P;60;1016-1;1
1700;P;60;1016-1;1
1800;P;60;1016-1;1
500;G;70;1016-1;1
600;G;70;1016-1;1
700;G;70;1016-1;1
800;G;70;1016-1;1
900;G;70;1016-1;1
1000;G;70;1016-1;1
1100;G;70;1016-1;1
1200;G;70;1016-1;1
1300;G;70;1016-1;1
1400;G;70;1016-1;1
1500;G;70;1016-1;1
1600;G;70;1016-1;1
1700;G;70;1016-1;1
1800;G;70;1016-1;1
500;P;70;1016-1;1
600;P;70;1016-1;1
700;P;70;1016-1;1
800;P;70;1016-1;1
900;P;70;1016-1;1
1000;P;70;1016-1;1
1100;P;70;1016-1;1
1200;P;70;1016-1;1
1300;P;70;1016-1;1
1400;P;70;1016-1;1
1500;P;70;1016-1;1
1600;P;70;1016-1;1
1700;P;70;1016-1;1
1800;P;70;1016-1;1
500;G;80;1016-1;1
600;G;80;1016-1;1
700;G;80;1016-1;1
800;G;80;1016-1;1
900;G;80;1016-1;1
1000;G;80;1016-1;1
1100;G;80;1016-1;1
1200;G;80;1016-1;1
1300;G;80;1016-1;1
1400;G;80;1016-1;1
1500;G;80;1016-1;1
1600;G;80;1016-1;1
1700;G;80;1016-1;1
1800;G;80;1016-1;1
500;P;80;1016-1;1
600;P;80;1016-1;1
700;P;80;1016-1;1
800;P;80;1016-1;1
