BSTID;WOLKENID
A01LW;AL
A02WL;AL
A05LW;AL
A06WL;AL
AL;AL
ALD A;AL
ALD G;AL
ALKN;AL
ALR;AL
ALRA;AL
ALSK;AL
ALTG;AL
AWR;AL
A161M;AM
A162M;AM
A171R;AM
A172M;AM
AASN;AM
AM  N;AM
AM  O;AM
AM  S;AM
AM  W;AM
AMA;AM
AMD;AM
ASTE;AM
AROG;AROG
AXFW;AXFW
BBKN;BBKN
BDDF;BDDF
BFHS;BFHS
BHG;BHG
BHR;BHG
BHRM;BHG
BMH;BHG
BSAE;BHG
BKP;BKP
BMOA;BMOA
BFP;BODK
BODK;BODK
BXF;BODK
BPOT;BPOT
BRSF;BRSF
BTN;BTN
DA;DF
DCTA;DF
DF;DF
DFS;DF
DH;DF
DM;DF
DXS;DXS
DR;DZN
DR  R;DZN
DR  V;DZN
DRA;DZN
DRO;DZN
DRRW;DZN
DWU;DZN
DZN;DZN
DZNH;DZN
EA;EA
E3359;EEM
E3361;EEM
E3362;EEM
E3363;EEM
E3364;EEM
E3366;EEM
E3368;EEM
EEM;EEM
EXEM;EEM
E 992;EHGG
E 994;EHGG
E 995;EHGG
E 996;EHGG
E 997;EHGG
E 999;EHGG
E544N;EHGG
E565W;EHGG
E566V;EHGG
E5894;EHGG
E5895;EHGG
E972A;EHGG
E973A;EHGG
EEIN;EHGG
EHG;EHGG
EHGGB;EHGG
EHGGO;EHGG
EHGGW;EHGG
EHGK;EHGG
EHGS;EHGG
EHGV;EHGG
EHGVE;EHGG
EHGVF;EHGG
EHGVO;EHGG
EHGVS;EHGG
EHGVW;EHGG
EHOY;EHGG
EREH;EHGG
ERWH;EHGG
ESRT;EHGG
ESRTF;EHGG
EWEF;EHGG
E 243;EHRB
E 244;EHRB
E 245;EHRB
E 246;EHRB
E 270;EHRB
E 31M;EHRB
E 32B;EHRB
E 67;EHRB
E247U;EHRB
E248H;EHRB
E53B;EHRB
E546A;EHRB
E547H;EHRB
E54B;EHRB
EAU;EHRB
EFMK;EHRB
EGAB;EHRB
EHE;EHRB
EHE P;EHRB
EHM;EHRB
EHRBA;EHRB
EHRBD;EHRB
EHRBE;EHRB
EHRBM;EHRB
EHRBN;EHRB
EHRBO;EHRB
EHRBR;EHRB
EHRBS;EHRB
EHRBT;EHRB
EHRBW;EHRB
EHRBZ;EHRB
EHRI;EHRB
ERDB;EHRB
ESMG;EHRB
EKT G;EKT G
FFS;FF
FFS A;FF
FFTGF;FF
FFW;FF
FFW A;FF
FGM;FF
FHOE;FF
FHOEA;FF
FHOEG;FF
FHOES;FF
FLS;FF
FMLA;FF
FMST;FF
FNI;FF
FNIS;FF
FNISA;FF
FSP;FF
FSP S;FF
FZEP;FF
F088C;FFU
FFU;FFU
FFU B;FFU
FFU G;FFU
FFU N;FFU
FFU W;FFU
FGHF;FFU
FDTH;FGB
FG;FGB
FG  A;FGB
FG  B;FGB
FG  R;FGB
FGB;FGB
FKOA;FKR
FKR;FKR
FKR N;FKR
FKR S;FKR
FKR T;FKR
FKRB;FKR
FKW;FKR
FKWK;FKR
FKWNA;FKR
FKWNB;FKR
FNV;FKR
F011C;FMB
F012C;FMB
F013B;FMB
F014B;FMB
F171B;FMB
F172B;FMB
F176B;FMB
F179A;FMB
F182A;FMB
F519A;FMB
F718A;FMB
F719A;FMB
F720A;FMB
F721A;FMB
F753B;FMB
FA175;FMB
FA176;FMB
FHM;FMB
FKBW;FMB
FKBWO;FMB
FKOO;FMB
FKOS;FMB
FMB A;FMB
FMB M;FMB
FMB N;FMB
FMB O;FMB
FMB P;FMB
FMB W;FMB
FMG;FMB
FMK;FMB
FMM;FMB
FMN;FMB
FMS;FMB
FMWG;FMB
FMZ;FMB
FMZ A;FMB
FMZ G;FMB
FQKB;FMB
FQMS;FMB
FRUE;FMB
FRUO;FMB
FWB;FMB
FWB A;FMB
FWO;FMB
FWO A;FMB
FWO B;FMB
FWO G;FMB
H01AB;HA
HA;HA
HAAK;HA
HAAT;HA
HBUK;HA
HLAN;HA
YDFAB;HA
HBHP;HBHP
H175B;HBR
H176V;HBR
H183S;HBR
H184B;HBR
H185B;HBR
H186B;HBR
H193B;HBR
H194H;HBR
H195B;HBR
H196H;HBR
H201B;HBR
H203B;HBR
H204B;HBR
H205B;HBR
H206B;HBR
H208B;HBR
H302B;HBR
H304B;HBR
H957U;HBR
H974U;HBR
HB;HBR
HB  W;HBR
HBN;HBR
HBR A;HBR
HBR E;HBR
HBR F;HBR
HBR L;HBR
HBR M;HBR
HBR P;HBR
HBR W;HBR
HBSB;HBR
HBWA;HBR
HHAT;HBR
HUTB;HBR
HVAH;HBR
H2801;HBS
H2807;HBS
H2812;HBS
H2814;HBS
H2818;HBS
H2820;HBS
H2823;HBS
H2824;HBS
HBS;HBS
HBSR;HBS
HBUH;HBS
HGAA;HBS
HGGL;HBS
HGGLO;HBS
HLNT;HBS
HOKB;HBS
HSMK;HBS
H001B;HBTH
H002B;HBTH
HBTH;HBTH
HXB;HBTH
HEBG;HEBG
HEBGN;HEBG
HEBGO;HEBG
HESW;HEBG
HE;HER
HER;HER
HF;HF
HSF;HF
HWOB;HF
H626N;HG
HG;HG
HG  G;HG
HG  N;HG
HGRN;HG
HSIK;HG
HLER;HLER
HLERN;HLER
HLERW;HLER
H643B;HLI
HEMA;HLI
HHBO;HLI
HLI;HLI
HLI R;HLI
HLIH;HLI
HHRN;HO
HLRI;HO
HO  N;HO
HO  O;HO
HO  S;HO
HO  U;HO
HOR O;HO
HOR S;HO
HORP;HO
HSTA;HO
HSR;HSR
HSR O;HSR
HSR W;HSR
HU;HU
HU  G;HU
HHML;HWU
HWAM;HWU
HWHN;HWU
HWU;HWU
E002A;KAW
K0401;KAW
KA;KAW
KASZ;KAW
KAW G;KAW
KAW P;KAW
KAW W;KAW
E513B;KG
K  1K;KG
K  3K;KG
K 210;KG
K 2KA;KG
K 4KA;KG
K 516;KG
K 613;KG
K 614;KG
K 714;KG
K006K;KG
K0220;KG
K0231;KG
K0748;KG
K0750;KG
K0751;KG
K263S;KG
K264S;KG
K7700;KG
K7703;KG
K7704;KG
KG  A;KG
KG  C;KG
KG  F;KG
KG  G;KG
KG  H;KG
KG  P;KG
KG  R;KG
KGN;KG
KGS;KG
KHOS;KG
KK;KG
KKA;KG
KKANE;KG
KKANM;KG
KKANN;KG
KKANO;KG
KKANP;KG
KKANR;KG
KKANS;KG
KKANW;KG
KKAS;KG
KKASS;KG
KKB;KG
KKBM;KG
KKBT;KG
KKDT;KG
KKDZ;KG
KKE A;KG
KKE B;KG
KKE F;KG
KKE K;KG
KKE M;KG
KKE N;KG
KKE O;KG
KKE S;KG
KKERG;KG
KKERP;KG
KKGU;KG
KKL;KG
KKM;KG
KKM A;KG
KKM B;KG
KKM G;KG
KKMN;KG
KKN B;KG
KKN E;KG
KKN F;KG
KKN G;KG
KKN P;KG
KKN W;KG
KKNA;KG
KKS;KG
KKSA;KG
KKW;KG
KKW F;KG
KKW S;KG
KSBR;KG
KSTA;KG
KVI;KG
YKKEZ;KG
K001A;KKOL
K002A;KKOL
K013G;KKOL
K039A;KKOL
K040A;KKOL
K044B;KKOL
K135C;KKOL
K136D;KKOL
K138A;KKOL
K970B;KKOL
K973B;KKOL
K974B;KKOL
K977A;KKOL
KBEN;KKOL
KENR;KKOL
KHBR;KKOL
KKES;KKOL
KKO;KKOL
KKOB;KKOL
KKOE;KKOL
KKOL;KKOL
KKOLM;KKOL
KKOLN;KKOL
KKOM;KKOL
KKOU;KKOL
KKSM;KKOL
KNE;KKOL
KNE G;KKOL
KNL;KKOL
KNL N;KKOL
KPFD;KKOL
KRHB;KKOL
KURR;KKOL
KVA;KKOL
YFFNL;KKOL
KXKK;KXKK
XNVL;KXKK
XNVLO;KXKK
LB;LB
LB  G;LB
LB  G;LB  G
LBT;LBT
LBTA;LBT
LBTS;LBT
LF;LF
LF  F;LF
LF  L;LF
LF  N;LF
LF  O;LF
LF  S;LF
LF  U;LF
LF  V;LF
LF  W;LF
L9315;LHG
L9316;LHG
L9334;LHG
L9352;LHG
LH;LHG
LHAC;LHG
LHAD;LHG
LHAL;LHG
LHAT;LHG
E111O;EOBR
E112O;EOBR
E116M;EOBR
E117W;EOBR
EDMO;EOBR
EGRA;EOBR
EMAF;EOBR
EOB;EOBR
EOB N;EOBR
EOB O;EOBR
EOBRB;EOBR
EOBRM;EOBR
EOBRO;EOBR
EOBRS;EOBR
EOBRW;EOBR
EOBRZ;EOBR
EOSD;EOBR
ERTL;EOBR
EWAZ;EOBR
ESIE;ESIG
ESIG;ESIG
ESW;ESIG
F181B;FB
FB;FB
FB  A;FB
FB  B;FB
FB  O;FB
FB  R;FB
FB  S;FB
FBLA;FB
FBU;FB
FFDF;FB
FLAE;FB
FME;FB
F271A;FD
F284A;FD
F753A;FD
FBSN;FD
FD;FD
FD  G;FD
FDA;FD
FDK;FD
FDN;FD
FSTN;FD
F065C;FF
F066C;FF
F088B;FF
F089B;FF
F090B;FF
F091B;FF
F208A;FF
F209A;FF
F391A;FF
F842A;FF
F891B;FF
F946A;FF
FFAU;FF
FFAW;FF
FFAWA;FF
FFGA;FF
FFME;FF
FFND;FF
FFO;FF
FFO G;FF
FFO U;FF
FFO V;FF
FFOR;FF
LHG;LHG
LHG D;LHG
LHG M;LHG
LHG U;LHG
LHG W;LHG
LHG Y;LHG
LHGB;LHG
LHNW;LHG
LHNWO;LHG
LHS;LHG
LHS D;LHG
LHSS;LHG
LHW;LHG
LHWW;LHG
LKAN;LHG
LPE;LHG
LRO;LHG
LSUE;LHG
LSUEA;LHG
L3314;LM
L3315;LM
L3316;LM
L3317;LM
L7011;LM
L7012;LM
L7013;LM
L7014;LM
L7016;LM
L7018;LM
LBRC;LM
LGLB;LM
LM;LM
LM  S;LM
LMB;LM
LMB B;LM
LMB F;LM
LMEU;LM
LMGE;LM
LMGH;LM
LMN;LM
LMR;LM
LMR F;LM
LMRH;LM
LMS;LM
LMTW;LM
LBIN;LS
LMGA;LS
LMGN;LS
LS;LS
LS  G;LS
LSTL;LS
L6111;LWI
L6112;LWI
L6113;LWI
