alt;neu
77A_R;100
77A_H;101
329_H;102
329_R;103
019_H;104
019_R;105
031_H;106
031_R;107
033_R;108
033_H;109
015_H;110
015_R;111
9B_H;112
9B_R;113
741_R;114
741_H;115
017_H;116
017_R;117
444A_H;118
444A_R;119
444B_H;120
444B_R;121
444C_H;122
444C_R;123
444D_H;124
444D_R;125
444E_H;126
444E_R;127
444F_H;128
444F_R;129
444G_H;130
444G_R;131
444H_H;132
444H_R;133
444J_H;134
444J_R;135
444K_H;136
444K_R;137
444L_H;138
444L_R;139
444M_H;140
444M_R;141
444N_H;142
444N_R;143
444P_H;144
444P_R;145
444Q_H;146
444Q_R;147
444R_H;148
444R_R;149
444S_H;150
444S_R;151
444T_H;152
444T_R;153
444U_H;154
444U_R;155
444W_H;156
444W_R;157
444X_H;158
444X_R;159
444Y_H;160
444Y_R;161
001_H;200
001_R;201
9A_H;202
9A_R;203
005_H;204
005_R;205
55B_H;206
55B_R;207
55A_H;208
55A_R;209
089_H;210
089_R;211
187A_H;212
187A_R;213
81A_R;214
81A_H;215
77B_R;216
77B_H;217
111_H;218
111_R;219
079_H;220
079_R;221
113_R;222
113_H;223
293_H;224
293_R;225
075_R;226
075_H;227
105_R;228
105_H;229
093_H;230
093_R;231
251_H;232
251_R;233
57A_H;234
57A_R;235
097_H;236
097_R;237
57B_H;238
57B_R;239
095_H;240
095_R;241
091_R;242
091_H;243
119A_H;244
119A_R;245
115A_H;246
115A_R;247
103_R;248
103_H;249
115B_H;250
115B_R;251
109A_R;252
109A_H;253
107_H;254
107_R;255
101_R;256
101_H;257
099_R;258
099_H;259
81B_H;260
81B_R;261
333_H;262
333_R;263
037_H;300
037_R;301
139A_H;302
139A_R;303
133A_R;304
133A_H;305
117_R;306
117_H;307
139B_H;308
139B_R;309
137_H;310
137_R;311
151_H;312
151_R;313
143_H;314
143_R;315
143A_H;334
143A_R;335
087_H;316
087_R;317
109B_H;318
109B_R;319
149_H;320
149_R;321
133B_H;322
133B_R;323
147_H;324
147_R;325
145B_R;326
145B_H;327
153_H;328
153_R;329
303_H;330
303_R;331
157A_H;332
157A_R;333
035_H;400
035_R;401
021_H;402
021_R;403
041_H;404
041_R;405
39B_H;406
39B_R;407
157_H;408
157_R;409
11B_H;410
11B_R;411
073_R;412
073_H;413
047_R;414
047_H;415
39A_H;416
39A_R;417
053_H;418
053_R;419
043_H;420
043_R;421
067_H;422
067_R;423
319_R;424
319_H;425
065_H;426
065_R;427
061_R;428
061_H;429
143B_H;500
143B_R;501
123_R;502
123_H;503
127C_R;504
127C_H;505
121_H;506
121_R;507
127D_R;508
127D_H;509
129A_H;510
129A_R;511
289_H;512
289_R;513
127A_H;514
127A_R;515
287_H;516
287_R;517
279_H;518
279_R;519
187B_H;520
187B_R;521
125B_H;522
125B_R;523
295_R;524
295_H;525
163A_H;526
163A_R;527
299_R;528
299_H;529
125A_H;530
125A_R;531
297_R;532
297_H;533
161_H;534
161_R;535
291_H;536
291_R;537
157B_H;600
157B_R;601
167A_H;602
167A_R;603
155B_H;606
155B_R;607
127E_H;608
127E_R;609
165_H;610
165_R;611
125C_H;612
125C_R;613
169_H;614
169_R;615
305_H;616
305_R;617
171A_H;618
171A_R;619
177B_H;622
177B_R;623
173B_H;628
173B_R;629
173C_H;630
173C_R;631
191_H;632
191_R;633
183_H;634
183_R;635
181_H;636
181_R;637
185_H;638
185_R;639
253_H;640
253_R;641
195A_H;642
195A_R;643
193A_H;700
193A_R;701
197B_R;702
197B_H;703
207A_H;704
207A_R;705
195_R;706
195_H;707
209_H;708
209_R;709
221_H;710
221_R;711
193B_R;712
193B_H;713
225_R;714
225_H;715
223_H;716
223_R;717
131B_R;718
131B_H;719
163B_R;720
163B_H;721
163C_R;740
163C_H;741
131A_R;722
131A_H;723
777_R;724
777_H;725
071_R;726
071_H;727
129_R;728
129_H;729
63B_R;730
63B_H;731
201_R;732
201_H;733
203_R;734
203_H;735
215A_H;736
215A_R;737
215B_R;738
215B_H;739
