RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FD  G;;FDA-204-FD-4-3688/3550;FDA-204-FD-4-3688/3550
FD;FD__G-002-FDE_N-4-3550/3601;;
F001A;FD-FDE_N;;
F002A;FD-FDE_N;;
FDS;FD-1-FDE_N;;
F003C;FD-FDE_N;;
F004C;FD-FDE_N;;
F005D;FD-FDE_N;;
F006C;FD-FDE_N;;
FDE N;FD-12-2-FDE;;
FDE;FDE_N-2-FBI_N;;
F009B;FDE-FBI_N;;
F010B;FDE-FBI_N;;
F011F;FDE-FBI_N;;
F012E;FDE-FBI_N;;
F013C;FDE-FBI_N;;
F014E;FDE-FBI_N;;
FBI N;FDE-12-FBI;;
FBI;FBI_N-2-FBAU;;
F001E;FBI-FBAU;;
F002E;FBI-FBAU;;
FHAE;FBI-FBAU;;
F003D;FBI-FBAU;;
F004D;FBI-FBAU;;
FZW;FBI-2-FBAU;;
FBAU;FZW-2-FBH;;
FBH;FBAU-2-12-FHP_N;;
F007B;FBH-FHP_N;;
F006E;FBH-FHP_N;;
FHP N;FBH-12-FHP;;
FHP;FHP_N-2-RHCH;;
F011G;FHP-RHCH;;
F010H;FHP-RHCH;;
YFRLH;FHP-RWE;;
R4513;FHP-RWE;;
R4521;FHP-RWE;;
RQLC;FHP-RWE;;
R4511;FHP--RWE;;
R4512;FHP-RWE;;
RLCH;FHP-RWE;;
R4515;FHP-RWE;;
R4514;FHP-RWE;;
RHCH;FHP-3-RWE;;
R6311;FHP-RWE;;
R6310;FHP-RWE;;
RWE;FHP-3-ZS3/103-RH H2;;
R6315;RWE-RH;;
R6333;RWE-RH;;
R6314;RWE-RH;;
RLUE;RWE-RH;;
R6217;RWE-RH;;
R6234;RWE-RH;;
R6216;RWE-RH;;
RGCH;RWE-1-RH;;
R6221;RWE-RH;;
R6220;RWE-RH;;
RLD;RWE-N402-RH;;
RMF;;RWE-N 3-RH;RWE-N 3-RH
