RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FMB O;;FMB_W-510-648-FNU;FMB_W-510-648-FNU
FMB A;FMB_A-FNU;;
F813A;FMB_A-FNU;;
F814A;FMB_A-FNU;;
F815A;FMB_A-FNU;;
F816A;FMB_A-FNU;;
F817A;FMB_A-FNU;;
F818A;FMB_A-FNU;;
FNU;FMB-2-FGER;;
F821A;FNU-FGER;;
F822A;FNU-FGER;;
FGER;FNU-1-FDG;;
FDG;FGER-901-FGE;;
F928B;FDG-FGE;;
F926B;FDG-FGE;;
F927B;FDG-FGE;;
FDOH;FDG-1-FGE;;
F924B;FDG-FGE;;
F925A;FDG-FGE;;
F798A;FDG-FGE;;
F795A;FDG-FGE;;
FLW;FDG-2-FGE;;
F796A;FDG-FGE;;
F793A;FDG-FGE;;
FGE;FDG-4-FBBM;;
FSTR;FGE-FBBM;;
F592A;FGE-FBBM;;
F591A;FGE-FBBM;;
FBBM;FGE-503-513-FGHM;;
F590A;FBBM-FGHM;;
F493B;FBBM-FGHM;;
FGHM;FDG-411-FBL;;
F490A;FGHM-FGRO;;
F491B;FGHM-FGRO;;
FGRO;FGHM-301-FBL;;
F392A;FGRO-FBL;;
F291B;FGRO-FBL;;
FBL;FGRO-203-FLP;;
F298C;FBL-FLP;;
F197A;FBL-FLP;;
FBST;FBL-2-FLP;;
F296C;FBL-FLP;;
F199B;FBL-FLP;;
F195A;FBL-FLP;;
FBUP;FBL-2-FLP;;
F294B;FBL-FLP;;
F292C;FBL-FLP;;
F193A;FBL-FLP;;
F290A;FBL-FLP;;
F191B;FBL-FLP;;
FLP;FBL-103-RMW_G;;
F004E;FLP-RMW_G;;
YFRML;FLP-RMW;;
RQMW;FLP-RMW;;
R  3M;FLP-RMW;;
R  2M;FLP-RMW;;
R  1M;FLP-RMW;;
RMW G;FLP-S23/4-RRE;;
RMW;FLP-S23/4-RRE;;
RMKL;RMW-P 2-RRE;;
RRE;RMW-RMR;;
RMR K;;RRE-RMR D;RRE-RMR D
