RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FMM;FBUD-601-FMZ_A;;
FMZ A;FMM-681-134-54-FMZ-3510;;
FMZ;FMZ_A-54-4-FMS-8-3510/3520-NMT;;
FMS;FMZ-403-FMWG-3522-NMT;;
F519A;FMS-FMWG;;
FMWG;FMS-501-FBOD;;
FML;FMWG-1-FBOD;;
F553A;FMWG-FBOD;;
F551A;FMWG-FBOD;;
F552A;FMWG-FBOD;;
F554A;FMWG-FBOD;;
FBOD;FMWG-1-FNIR;;
F005B;FBOD-FNIR;;
FNAC;FBOD-1-FNIR;;
F006B;FBOD-FNIR;;
F007A;FBOD-FNIR;;
F008A;FBOD-FNIR;;
F009D;FBOD-FNIR;;
F010D;FBOD-FNIR;;
FNIR;FBOD-2-FOPP;;
FOPP;FNIR-2-FGUB;;
F711A;FOPP-FGUB;;
F712A;FOPP-FGUB;;
F713A;FOPP-FGUB;;
F714A;FOPP-FGUB;;
F715A;FOPP-FGUB;;
FGUB;FNIR-702-FAHM;;
FAHM;FGUB-601-FOHF;;
F517A;FAHM-FOHF;;
FMET;FAHM-1-FOHF;;
F518A;FAHM-FOHF;;
F519B;FAHM-FOHF;;
F520A;FAHM-FOHF;;
YFKMO;FMZ-FWOR;;
FOHF;FMZ-1-FWOR;;
F521W;FMZ-FWOR;;
F522W;FMZ-FWOR;;
F524W;FMZ-FWOR;;
F523W;FMZ-FWOR;;
F526W;FMZ-FWOR;;
FWORE;FMZ-R212;;
FWOR;FMZ-R212/2-RL;;
R327L;FWOR-RL;;
R338L;FWOR-RL;;
R328L;FWOR-RL;;
RBOB;FWOR-N202-RL;;
R 25L;FWOR-RL;;
R 26L;FWOR-RL;;
RFT;FWOR-12/12-RL;;
R 27L;FWOR-RL;;
R 28L;FWOR-RL;;
R 29L;FWOR-RL;;
R 30L;FWOR-RL;;
RLO;FWOR-P 1-RM;;
R  4L;FWOR-RL;;
R 14L;FWOR-RL;;
R 15L;FWOR-RL;;
RRK;FWOR-RM;;
RL  N;FWOR-RM;;
RL;FWOR-N 12-RM;;
RL  S;FWOR-12-B-RM;;
RLSM;FWOR-B-RM;;
RQL;RL-B-RM;;
RM;RL-B-044-R11/183 6/4;;
RM  O;RM-T183-RMR;;
RMR W;RM-R635-RMR K;;
RMR K;;RMR K-RMR D;RMR K-RMR D
