RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
KKOLM;;KKOLN-4-KKOL-3011;KKOLN-4-KKOL-3011
KKOL;KKOLM-4-KKOM-3011;;
KKOM;KKOL-407-SWI;;
SKOW;KKOM-SWI;;
S001G;KKOM-SWI;;
S002G;KKOM-SWI;;
SGS;KKOM-1-SWI;;
SWI;KKOM-1-SKG;;
S003C;SWI-SKG;;
S004D;SWI-SKG;;
SKG;SWI-2-SHZ;;
SLE;SKG-1-SHZ;;
S005D;SKG-SHZ;;
S006E;SKG-SHZ;;
SKTS;SKG-1-SHZ;;
S 5AA;SKG-SHZ;;
S 6AA;SKG-SHZ;;
SLF;SKG-1-SHZ;;
SHZ;SKG-2-SMK;;
SMK;SHZ-4-STK;;
S007E;SMK-STK;;
SMD;SMK-1-STK;;
S008D;SMK-STK;;
STK;SMK-2-SCOC;;
S009H;STK-SCOC;;
SPOM;STK-1-SCOC;;
S010H;STK-SCOC;;
S011F;STK-SCOC;;
SKT;STK-1-SCOC;;
S012E;STK-SCOC;;
SCOC;STK-2-SEE;;
SEE;SCOC-102-SBY;;
SNF;SEE-1-SBY;;
SBY;SEE-2-SPDR;;
SPDR;SBY-SUG;;
S013E;SPDR-SUG;;
SBG;SPDR-1-SUG;;
S015F;SPDR-SUG;;
S014E;SPDR-SUG;;
SUG;SPDR-2-SWIH;;
S017D;SUG-SWIH;;
S018D;SUG-SWIH;;
SWIH;SUG-12-2a-SSMR;;
S021E;SWIH-SSMR;;
S022G;SWIH-SSMR;;
SSMR;SWIH-3-SHR;;
SSMT;SSMR-1-SHR;;
S024E;SSMR-SHR;;
SSE;SSMR-1-SHR;;
S023F;SSMR-SHR;;
SHR;SSMR-2-SSWE;;
S026F;SHR-SSWE;;
S025E;SHR-SSWE;;
SFOE;SHR-1-SSWE;;
S027G;SHR-SSWE;;
S028G;SHR-SSWE;;
SSWE;SHR-3-SEG;;
S030H;SSWE-SEG;;
SQI;SSWE-1-SEG;;
S029F;SSWE-SEG;;
SEGO;SSWE-1-SEG;;
SEG;SSWE-SEG_N;;
SEG N;;SEG-56-SEG_O-3141/3142;SEG-56-SEG_O-3141/3142
