RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
SEG N;;SEG_M-54-SEG-3141/3142;SEG_M-54-SEG-3141/3142
SEG;SEG_N-SSWE-3142;;
SEGO;SEG-2-SSWE;;
S029F;SEG-SSWE;;
SQI;SEG-2-SSWE;;
S030H;SEG-SSWE;;
SSWE;SEG-2-SHR;;
S028G;SSWE-SHR;;
S027G;SSWE-SHR;;
SFOE;SSWE-2-SHR;;
S025E;SSWE-SHR;;
S026F;SSWE-SHR;;
SHR;SSWE-1-SSMR;;
S023F;SHR-SSMR;;
SSE;SHR-2-SSMR;;
S024E;SHR-SSMR;;
SSMT;SHR-2-SSMR;;
SSMR;SHR-2-SWIH;;
S022G;SSMR-SWIH;;
S021E;SSMR-SWIH;;
SWIH;SSMR-3-SUG;;
S018D;SWIH-SUG;;
S017D;SWIH-SUG;;
SUG;SWIH-3-SPDR;;
S014E;SUG-SPDR;;
S015F;SUG-SPDR;;
SBG;SUG-2-SPDR;;
S013E;SUG-SPDR;;
SPDR;SUG-SBY;;
SBY;SPDR-1-SEE;;
SNF;SBY-2-SEE;;
SEE;SBY-101-SCOC;;
SCOC;SEE-1-STK;;
S012E;SCOC-STK;;
SKT;SCOC-2-STK;;
S011F;SCOC-STK;;
S010H;SCOC-STK;;
SPOM;SCOC-2-STK;;
S009H;SCOC-STK;;
STK;SCOC-3-SMK;;
S008D;STK-SMK;;
SMD;STK-2-SMK;;
S007E;STK-SMK;;
SMK;STK-2-SHZ;;
SHZ;SMK-1-SKG;;
SLF;SHZ-2-SKG;;
S 6AA;SHZ-SKG;;
S 5AA;SHZ-SKG;;
SKTS;SHZ-2-SKG;;
S006E;SHZ-SKG;;
S005D;SHZ-SKG;;
SLE;SHZ-2-SKG;;
SKG;SHZ-3-SWI;;
S004D;SKG-SWI;;
S003C;SKG-SWI;;
SWI;SKG-2-KKOM;;
SGS;SWI-2-KKOM;;
S002G;SWI-KKOM;;
S001G;SWI-KKOM;;
SKOW;SWI-KKOM;;
KKOM;SWI-402-KKOL;;
KKOL;KKOM-1-KKOLM-3011/2630;;
KKOLM;;KKOL-1-KKOLN-2630;KKOL-1-KKOLN-2630
