RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FGB;FG-202-FGL;;
FGL;FGB-2-FLGS;;
F005C;FGL-FLGS;;
F006D;FGL-FLGS;;
F007C;FGL-FLGS;;
FLGS;FGB-1-FBZ;;
F009G;FLGS-FBZ;;
F010G;FLGS-FBZ;;
F011E;FLGS-FBZ;;
FKGS;FLGS-1-FBZ;;
F012D;FLGS-FBZ;;
F013D;FLGS-FBZ;;
F014D;FLGS-FBZ;;
F015D;FLGS-FBZ;;
F016C;FLGS-FBZ;;
F017C;FLGS-FBZ;;
F018C;FLGS-FBZ;;
FBZ;FLGS-2-FBNA;;
F019A;FBZ-FBNA;;
F020A;FBZ-FBNA;;
F021C;FBZ-FBNA;;
F022E;FBZ-FBNA;;
FOM;FBZ-FBNA;;
F023D;FBZ-FBNA;;
F024C;FBZ-FBNA;;
F025C;FBZ-FBNA;;
F027E;FBZ-FBNA;;
F029D;FBZ-FBNA;;
F026D;FBZ-FBNA;;
F028E;FBZ-FBNA;;
F030D;FBZ-FBNA;;
F031E;FBZ-FBNA;;
F033E;FBZ-FBNA;;
F032E;FBZ-FBNA;;
F034F;FBZ-FBNA;;
FBNA;FBZ-1-FFG;;
F035E;FBNA-FFG;;
F037D;FBNA-FFG;;
F036F;FBNA-FFG;;
FFG;FBNA-2-FNRW;;
FFG G;FFG-202-FNRW;;
FBB;FFG-FNRW;;
F039D;FFG_G-FNRW;;
F038D;FFG_G-FNRW;;
FNRW;FFG-2-FGKA;;
F045B;FNRW-FGKA;;
F046B;FNRW-FGKA;;
FOK;FNRW-FGKA;;
FGKA;FNRW-3-FVL;;
F103D;FGKA-FVL;;
F102B;FGKA-FVL;;
FDW;FGKA-FVL;;
F203A;FGKA-FVL;;
F202D;FGKA-FVL;;
FVL;FGKA-8-FFBS;;
FVLS;FVL-2-FFBS;;
F153A;FVL-FFBS;;
F252B;FVL-FFBS;;
F155A;FVL-FFBS;;
F254A;FVL-FFBS;;
FFBK;FVL-FFBS;;
FFBS;FVL-1-FFGI;;
F161A;FFBS-FFGI;;
F260A;FFBS-FFGI;;
FFES;FFBS-FFGI;;
FFGI;FFBS-2-FFW;;
FFW A;FFGI-43-FFW;;
FFW;FFGI-3-FFGA;;
FFME;FFW-1-FFGA;;
FFGA;FFW-FFAU-3611/3631;;
FFAU;FFGA-732-FGM;;
FGM;FFAU-202-FHOE;;
F089B;FGM-FHOE;;
F088B;FGM-FHOE;;
FFND;FGM-FHOE;;
F091B;FGM-FHOE;;
F090B;FGM-FHOE;;
FHOE;FGM-003-FFAW;;
FFAW;FHOE-186-FHOES;;
FHOES;FFAW-FHOEA;;
FHOEA;FHOE-FHAS;;
FSINO;FHOEA-FHAS;;
F166B;FHOEA-FHAS;;
F165B;FHOEA-FHAS;;
FSIN;FHOEA-FHAS;;
F167B;FHOEA-FHAS;;
FHAS;FHOE-502-FFH;;
FED;FHAS-2-FFH;;
FFH;FHAS-2-FHM;;
F732A;FFH-FHM;;
FTM;FTM-732-FHM;;
F731A;FFH-FHM;;
FHM;FFH-1-FKOS;;
FKOS;FHM-FKBWO;;
F014B;FKOS-FKBW;;
F013B;FKOS-FKBW;;
F012C;FKOS-FKBW;;
F011C;FKOS-FKBW;;
FKBWO;FKOS-FKBW;;
FQKB;FKBWO-2-FKBW;;
F753B;FKBWO-FKBW;;
FKBW;FKBWO-2-FMZ_A;;
FMN;FKBW-FMZ_A-3521;;
F721A;FKBW-FMZ_A;;
FMZ A;FMN-142-51-FMZ-4-3521;;
FMZ;FMZ_A-51-2-FMS-D-4-3527/3520-NMT;;
FMS;FMZ-403-FMG-3520-NMT;;
FQMS;FMS-1-FMG;;
FMG;FMS-2-FMB_P;;
FMB P;FMG-006-010-FMB_W-3520/3525;;
FMB W;FMB_P-010-FMB_M-3525-1;;
FMB M;;FMB_W-510-FMB O;FMB_W-510-FMB O
