RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
SXPE;XFAP-SPE;;
SPE;XFAP-1-SNE;;
SBS;SPE-2-SNE;;
SNEC;SPE-SNE;;
SNE;SPE-1-SWIN;;
SQPZ;SNE-SWIN;;
SPZ;SNE-2-SWIN;;
S056C;SNE-SWIN;;
SWE;SNE-2-SWIN;;
S055E;SNE-SWIN;;
SWIN;SNE-2-SWN;;
SNI;SWIN-2-SWN;;
SWN;SWIN-3-SKU_W;;
STS;SWN-2-SKU_W;;
S051C;SWN-SKU_W;;
S052A;SWN-SKU_W;;
SOG;SWN-2-SKU_W;;
SWAS;SWN-2-SKU_W;;
SKU W;SWN-SKU_M;;
SKU M;SKU_W-1-61-SKU-3010;;
SKU;SKU_M-53-STRS-3010;;
S047C;SKU-STRS;;
S050A;SKU-STRS;;
S048B;SKU-STRS;;
S049A;SKU-STRS;;
STRS;SKU-502-STR-3010;;
STR;STRS-412-402F/H1-STR_N-3010;;
STR N;STR-110-SEG_O-3010/3142;;
SEG O;STR-11-54-SEG_S-3142/3147;;
SEG M;SEG_O-11-143-SEG_N;;
SEG N;;SEG_M-54-SEG-3141/3142;SEG_M-54-SEG-3141/3142
