RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FMM;;FBUD-603-FKBWO;FBUD-603-FKBWO
FKBW;FMM-1-FKBWO;;
F753B;FKBW-FKBWO;;
FQKB;FKBW-1-FKBWO;;
FKBWO;FKBW-FKOS;;
F011C;FKBW-FKOS;;
F012C;FKBW-FKOS;;
F013B;FKBW-FKOS;;
F014B;FKBW-FKOS;;
FKOS;FKBWO-FHM;;
FHM;FKOS-2-FFH;;
F731A;FHM-FFH;;
FTM;FHM-731-FFH;;
F732A;FHM-FFH;;
FFH;FHM-1-FHAS;;
FED;FFH-1-FHAS;;
FHAS;FFH-503-FHOE;;
F167B;FHAS-FHOEA;;
FSIN;FHAS-FHOEA;;
F165B;FHAS-FHOEA;;
F166B;FHAS-FHOEA;;
FSINO;FHAS-FHOEA;;
FHOEA;FHAS-FHOEG;;
FHOEG;FFAWA-227-FHOE;;
FHOE;FHOEG-227/228-008-FMLA;;
F891B;FHOE-FFTGF;;
FFTGF;FHOE-FMLA;;
F391A;FFTGF-FMLA;;
F842A;FFTGF-FMLA;;
FMLA;FFTGF-FNI;;
FNI;FMLA-654-607-FFOR;;
FFOR;FNI-FFS;;
F066C;FFOR-FFS;;
F065C;FFOR-FFS;;
FFS;FFOR-508-FFO;;
FFO;FFS-4-FFO_G;;
FFO G;;FFO-104-FFO_U;FFO-104-FFO_U
