RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FD  G;;FD-001-203-FSTN-D2-35503/3530;FD-001-203-FSTN-D2-35503/3530
FSTN;FD__G-FWI;;
FWI;FD-FEIM;;
F030A;FWI-FGER;;
F029A;FWI-FGER;;
F028A;FWI-FGER;;
F027A;FWI-FGER;;
FKGE;FD-2-FEIM;;
FEIM;FD-FGERO;;
FGERO;FD-12-FGER;;
FGER;FGERO-2-FNU;;
F822A;FGER-FNU;;
F821A;FGER-FNU;;
FNU;FGER-1-FMB;;
F818A;FNU-FMB_A;;
F817A;FNU-FMB_A;;
F816A;FNU-FMB_A;;
F815A;FNU-FMB_A;;
F814A;FNU-FMB_A;;
F813A;FNU-FMB_A;;
FMB A;FNU-1-FMB P;;
FMB P;FMB_A-003-FMG-D3-3520;;
FMG;FMB_P-1-FMS-D2;;
FQMS;FMG-2-FMS;;
FMS;FMG-402-FMZ-3520-AMT;;
FMZ;FMS-3-263-53-FMZ_A-6-3520/3510-AMT;;
FMZ A;FMZ-53-133-FMM-3510;;
FMM;;FMZ_A-602-FBUD;FMZ_A-602-FBUD
