RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FMM;;FBUD-603-FKBWO;FBUD-603-FKBWO
FKBW;FMM-1-FKBWO;;
F753B;FKBW-FKBWO;;
FQKB;FKBW-1-FKBWO;;
FKBWO;FKBW-FKOS;;
F011C;FKBW-FKOS;;
F012C;FKBW-FKOS;;
F013B;FKBW-FKOS;;
F014B;FKBW-FKOS;;
FKOS;FKBWO-FKOO;;
FKOO;FKOS-FMB_P;;
F718A;FKOS-FMB;;
F719A;FKOS-FMB;;
F720A;FKOS-FMB;;
FMB P;FKOS-001-FMB_A-3530;;
FMB A;FMB_P-202-FNU;;
F813A;FMB_A-FNU;;
F814A;FMB_A-FNU;;
F815A;FMB_A-FNU;;
F816A;FMB_A-FNU;;
F817A;FMB_A-FNU;;
F818A;FMB_A-FNU;;
FNU;FMB-2-FGER;;
F821A;FNU-FGER;;
F822A;FNU-FGER;;
FGER;FNU-1-FGERO;;
FGERO;FGER-11-FD;;
FEIM;FGERO-FD;;
FKGE;FEIM-1-FD;;
F027A;FGER-FWI;;
F028A;FGER-FWI;;
F029A;FGER-FWI;;
F030A;FGER-FWI;;
FWI;FEIM-FD;;
FSTN;FWI-FD__G-RG;;
FD  G;;FSTN-204-FD__G-D-4-3530;FSTN-204-FD__G-D-4-3530
