RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FFO G;;FFO_U-103-FFO;FFO_U-103-FFO
FFO;FFO_G-3-FFS;;
FFS;FFO-507-FFOR;;
F065C;FFS-FFOR;;
F066C;FFS-FFOR;;
FFOR;FFS-FSP;;
FSP;FFOR-505-FKCH-3650/3520;;
F527A;FSP-FKCH;;
FSWF;FSP-FKCH;;
F525A;FSP-FKCH;;
F524A;FSP-FKCH;;
F523A;FSP-FKCH;;
F522A;FSP-FKCH;;
FKCH;FSP-311-301-FRA;;
F223A;FKCH-FBRS;;
F232A;FKCH-FBRS;;
FBRS;FKCH-FMOW;;
FRAC;FRAC-FMOW;;
FMOW;FRAC-FRA;;
FRA;FRAC-1-FRUE;;
FRUE;FRA-1-FRUO;;
FRUO;FRUE-27-FMB_N;;
FMB N;RUO-FMB W;;
FMB W;;FMB_N-076-FMB_P-3525-2;FMB_N-076-FMB_P-3525-2
