RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FMB W;;FMB_W-070-FMB_N-3535;FMB_W-070-FMB_N-3535
FMB N;FMB_W-1-RUO;;
FRUO;FMB_N-22-FRUE;;
FRUE;FRUO-2-FRA;;
FRA;FRUE-2-FRAC;;
FMOW;FRA-FKCH;;
FRAC;FRAC-FKCH;;
FBRS;FRAC-FKCH;;
F232A;FBRS-FKCH;;
F223A;FBRS-FKCH;;
FKCH;FRA-302-312-FSP;;
F522A;FKCH-FSP;;
F523A;FKCH-FSP;;
F524A;FKCH-FSP;;
F525A;FKCH-FSP;;
FSWF;FKCH-FSP;;
F527A;FKCH-FSP;;
FSP;FKCH-504-FFOR-10-3520/3650;;
FFOR;FSP-FFS;;
F066C;FFOR-FFS;;
F065C;FFOR-FFS;;
FFS;FFOR-508-FFO;;
FFO;FFS-4-FFO_G;;
FFO G;;FFO-104-FFO_U;FFO-104-FFO_U
