RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FBU;;FKOA-402-FB;FKOA-402-FB
FB;FBU-9-FFDF-6340;;
FFDF;FB-FHNB;;
FRON;FFDF-FHNB;;
F616B;FFDF-FHNB;;
F617B;FFDF-FHNB;;
F614A;FFDF:FHNB;;
F615B;FFDF-FHNB;;
FHNB;FFDF-632-622-UGT;;
F613A;FHNB-UGT;;
FBOS;FHNB-UGT;;
F612A;FHNB-UGT;;
F611A;FHNB-UGT;;
FOBS;FHNB-UGT;;
F610B;FHNB-UGT;;
YLFGD;FHNB-UGT;;
UQGT;FHNB-UGT;;
UGT;FB-802-UEI;;
U 846;UGT-UWAR;;
U 896;UGT-UWAR;;
U 897;UGT-UWAR;;
U894B;UGT-UWAR;;
U 895;UGT-UWAR;;
UQHE;UGT-UWAR;;
U892B;UGT-UWAR;;
U 843;UGT-UWAR;;
U893B;UGT-UWAR;;
U 842;UGT-UWAR;;
U891B;UGT-UWAR;;
U 890;UGT-UWAR;;
U 841;UGT-UWAR;;
U 748;UGT- UWAR;;
U 798;UGT-UWAR;;
U 747;UGT-UWAR;;
U 797;UGT-UWAR;;
UHER;UGT-UWAR;;
U 796;UGT-UWAR;;
UQWA;UGT-UWAR;;
UWAR;UGT-702-UEIS;;
UHL;UWAR-UEIS;;
U 792;UWAR-UEIS;;
U 793;UWAR-UEIS;;
UEIS;UWAR-602-UEI;;
UEIP;UEIS-UEI;;
U 692;UEIS-UEI;;
U 693;UEIS- UEI;;
UEIW;UEIS-UEI;;
UEI;UGT-402-UGO;;
UEI G;UEI-302-UGO;;
U596B;UEI-UWU;;
UWU;UEI-5021-UMS;;
U 592;UWU-UMS;;
USU;UWU-UMS;;
U 593;UWU-UMS;;
U 994;UWU-UMS;;
U 591;UWU-UMS;;
USAE;UWU-UMS;;
UMS;UWU-9021UFT;;
UME;UMS-UFT;;
U 898;UMS-UFT;;
U 991;UMS-UFT;;
UFT;UEI-802-UGO;;
U 894;UFT-UGO;;
U 893;UFT-UGO;;
U 892;UFT-UGO;;
U 891;UFT-UGO;;
U 294;UFT-UGO;;
U 295;UFT-UGT;;
U 292;UFT-UGO;;
U 293;UFT-UGO;;
UGO;UEI-102-UND;;
UGO K;UGO-2-UND;;
U 194;UGO-USB;;
U 197;UGO-USB;;
U 195;UGO-USB;;
U 192;UGO-USB;;
U 193;UGO-USB;;
USB;UGO-6021-UWA;;
U 596;USB-UWA;;
U 691;USB-UWA;;
UWA;USB-5021-UND;;
UND;UWA-772-UEBI(6340);;
U2542;UND(6340)-UEBI;;
U2531;UND(6340)-UEBI;;
U2532;UND(6340)-UEBI;;
U2522;UND(6340)-UEBI;;
U2511;UND(6340)-UEBI;;
U2512;UND(6340)-UEBI;;
U2501;UND(6340)-UEBI;;
UEBI;UND(6340)-722-UE(6340);;
U2432;UEBI-UE;;
U2421;UEBI-UE;;
U2412;UEBI-UE;;
U2411;UEBI-UE;;
UE;UEBI(6340)-10-UEGL(310);;
UEG E;UE(240)-210-UEGL(210);;
UEG L;UE-210-UVI;;
U152V;UEG-UWM;;
U161V;UEG-UWM;;
UVI;UE-2-UWM;;
U141V;UE-UWM;;
U132V;UE-UWM;;
UHP;UE-UWM;;
U221V;UE-UWM;;
U122V;UE-UWM;;
U232V;UE-UWM;;
U131V;UE-UWM;;
U112V;UE-UWM;;
U121V;UE-UWM;;
UWM;UE-1/1-UGH;;
UWM F;UWM-1-UGH;;
U7065;UWM-UGH;;
U7066;UWM-UGH;;
UOM;UWM-UGH;;
U7062;UWM-UGH;;
U7061;UWM-UGH;;
UAP;UWM-702-UGH;;
U7054;UWM-UGH;;
U7053;UWM-UGH;;
UNTA;UWM-UGH;;
U7049;UWM-UGH;;
U7050;UWM-UGH;;
UBS;UWM-UGH;;
UGH;UWM-1-UNM;;
UQGH;UGH-UNM;;
UGHO;UGH-UNM;;
USK;UGH-UNM;;
UKO;USK-5401-UNM;;
USPF;USK-UNM;;
UNM;USK-522-UW Hlang;;
U5226;UNM-UW;;
U5223;UNM-UW;;
U5222;UNM-UW;;
U5219;UNM-UW;;
U5016;UNM-UW;;
U5018;UNM-UW;;
ULL;UNM-UW;;
U5017;UNM-UW;;
U5015;UNM-UW;;
U5012;UNM-UW;;
U5011;UNM-UW;;
UW;UNM-502-LGC;;
LB915;UW-LGC;;
LB906;UW-LGC;;
LB905;UW-LGC;;
LA806;UW-LGC;;
LB805;UW-LGC;;
LA706;UW-LGC;;
LGC;UW-405-LH;;
L 244;LGC-LMG;;
L 245;LGC-LMG;;
LLWS;LGC-LMG;;
LLWN;LGC-LMG;;
LMG G;LGC-4112-LMG;;
LMG;LGC-4102-LHAD;;
LSP;LMG-1-LHAD;;
LHAD;LMG-15-LHAT(6352);;
L9334;LHAD-LHAT;;
LHAT;LHAD(6352)-LHG(6350);;
LHG W;LHAT-207-LHGY(6350);;
LHG Y;LHGW(6350)-207-LHG;;
LHG;LHGW(6350)-40LHG;;
LHG U;;LHG-40-LHGM;LHG-40-LHGM
