RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
AM  W;;AM  N(1280-2)-1210/1738-AM  S(1284-2) H2;AM  N(1280-2)-1210/1738-AM  S(1284-2) H2
AM  S;AM  W(1284)-ASTE(1284);;
ASTE;AM W-1-ALBG(1720);;
AASN;ASTE(1720)-101-ALBG;;
A142A;ASTE-ALBG;;
A141A;ASTE-ALBG;;
AWI;ASTE-2-ALBG;;
A134W;ASTE-ALBG;;
A133W;ASTE-ALBG;;
A132W;ASTE-ALBG;;
A131W;ASTE-ALBG;;
ARH;ASTE-1-ALBG;;
A226B;ASTE-ALBG;;
A225R;ASTE-ALBG;;
AR125;ASTE-ALBG;;
A224B;ASTE-ALBG;;
AR123;ASTE-ALBG;;
A222B;ASTE-ALBG;;
AR121;ASTE-ALBG;;
ABAD;ASTE-2-ALBG;;
A214L;ASTE-ALBG;;
A115B;ASTE-ALBG;;
A212L;ASTE-ALBG;;
A213B;ASTE-ALBG;;
AB113;ASTE-ALBG;;
AB111;ASTE-ALBG;;
ALBGN;ASTE(1720)-271-ALBG;;
ALBG;ASTE-201-ALBGG(1720-2);;
ALBGG;ALBG-201/101-HU;;
A100L;ALBG-HU;;
A101L;ALBG-HU;;
ADEV;ALBG-1-HU;;
A094D;ALBG-HU;;
A93DE;ALBG-HU;;
A092D;ALBG-HU;;
A91DE;ALBG-HU;;
ABIL;ALBG-2-HU;;
A086B;ALBG-HU;;
A85BB;ALBG-HU;;
A084B;ALBG-HU;;
A83BB;ALBG-HU;;
A082B;ALBG-HU;;
A81BB;ALBG-HU;;
ABVS;ALBG-2-HU;;
A072B;ALBG-HU;;
A71BB;ALBG-HU;;
H170U;ALBG-HU;;
H70UB;ALBG-HU;;
H67UB;ALBG-HU;;
H65UB;ALBG-HU;;
H64EU;ALBG-HU;;
H163B;ALBG-HU;;
H63UE;ALBG-HU;;
H62EU;ALBG-HU;;
H61UE;ALBG-HU;;
HU;ALBG-301-HU G(6899-1);;
HU  G;HU(6899-1)-201-HWRN;;
H918U;HU  G-H917U;;
H917S;H918U-HSTF;;
HSTF;HU G-HWRN;;
HWRN;HSTF-3-HSDK;;
H915S;HWRN-H916W;;
H916W;H915S-HSDK;;
HSDK;H916W-H914S;;
H914S;HSDK-YLHSN;;
YLHSN;HU-LSW;;
H913S;HU-LSW;;
HSCG;HU-3-LSW;;
LQSW;HU-LSW;;
L912S;HU-LSW;;
L911S;HU-LSW;;
L910S;HU-LSW;;
L909S;HU-LSW;;
LSW;HU-12-LSWG;;
LSW G;LSW-124-LS;;
L908S;LSW-LS;;
LPRZ;LSW-LS;;
L907S;LSW-LS;;
LRAD;LSW-521-LS  G;;
LFL;LSW-LS;;
L906S;LSW-LS;;
L905S;LSW-LS;;
LBRP;LSW-43-LS;;
L904S;LSW-LS;;
LMF;LSW-LS;;
L903S;LSW-LS;;
LHWU;LSW-33-LS;;
LKD;LSW-22-LS;;
LKD H;LSW-LS;;
LSFD;LSW-LS;;
L902S;LSW-LS;;
L901S;LSW-LS;;
LS  G;;LSW-705/605-LS;LSW-705/605-LS
