RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HLER;;HLERW-11-HBS;HLERW-11-HBS
HRAT;HLER-HP;;
H884H;HLER-HP;;
H883H;HLER-HP;;
HHAE;HLER-801-HBS;;
H888V;HLER-HP;;
H889V;HLER-HP;;
H902P;HLER-HP;;
H904P;HLER-HP;;
HVOE;HLER-HP;;
H907V;HLER-HP;;
H905V;HLER-HP;;
H908P;HLER-HP;;
H909P;HLER-HP;;
HP;HLER-102-HGGL;;
HP  G;HP-HGGL;;
H927W;HP-HGGL;;
H940V;HP-HGGL;;
H928V;HP-HGGL;;
H929P;HP-HGGL;;
H941P;HP-HGGL;;
H930V;HP-HGGL;;
H942V;HP-HGGL;;
H943P;HP-HGGL;;
H931P;HP-HGGL;;
H932V;HP-HGGL;;
H933V;HP-HGGL;;
HVEC;HLER-232-HBS;;
H401W;HP-HGGL;;
H402G;HP-HGGL;;
HGGL;HLER-2-HBS;;
HGGLO;HGGL-2-HBS;;
H2801;HGGL-HBS;;
H2812;HGGL-HBS;;
H2814;HGGL-HBS;;
HGAA;HGGL-1730-HBS;;
H2807;HGGL-HBS;;
H2818;HGGL-HBS;;
H2820;HGGL-HBS;;
HBS;HGGLO-307-HSMK H2;;
