RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
AM  W;;AM  N(1280-2)-1210/1760-AM  S(1280-2) H2;AM  N(1280-2)-1210/1760-AM  S(1280-2) H2
AM  S;AM  W(1280-2)-ABLZ;;
A1778;AM-AJF;;
A1777;AM-AJF;;
A1776;AM-AJF;;
A923B;AM-AJF;;
A924A;AM-AJF;;
A921B;AM-AJF;;
A922A;AM-AJF;;
AJF;AM-ABLZ;;
A908A;AJF-ABLZ;;
A903B;AJF-ABLZ;;
A906A;AJF-ABLZ;;
A904A;AJF-ABLZ;;
A201B;AJF-ABLZ;;
ABLZ;AM-26/76-AROG(1283-0);;
A400B;ABLZ(1283)-AROG(1283);;
A399B;ABLZ(1283)-AROG(1283);;
ASP;ABLZ(1283)-2-AROG(1283) Gz;;
A398S;ABLZ(1283)-AROG(1283);;
A397S;ABLZ(1283)-AROG(1283);;
A396S;ABLZ(1283)-AROG(1283);;
A395S;ABLZ(1283)-AROG(1283);;
A394S;ABLZ(1283)-AROG(1283);;
A393S;ABLZ(1283)-AROG(1283);;
ATST;ABLZ(1283)-3-AROG(1283);;
A392T;ABLZ(1283)-AROG(1283);;
A391T;ABLZ(1283)-AROG(1283);;
A390T;ABLZ(1283)-AROG(1283);;
A389T;ABLZ(1283)-AROG(1283);;
A388T;ABLZ(1283)-AROG(1283);;
A387T;ABLZ(1283)-AROG(1283);;
A386T;ABLZ(1283)-AROG(1283);;
A385T;ABLZ(1283)-AROG(1283);;
A384T;ABLZ(1283)-AROG(1283);;
A383T;ABLZ(1283)-AROG(1283);;
A382T;ABLZ(1283)-AROG(1283);;
A381T;ABLZ(1283)-AROG(1283);;
ALUB;ABLZ(1283)-3-AROG(1283);;
A372L;ABLZ(1283)-AROG(1283);;
A371L;ABLZ(1283)-AROG(1283);;
ASL;ABLZ(1283)-3-AROG(1283);;
A366S;ABLZ(1283)-AROG(1283);;
A367S;ABLZ(1283)-AROG(1283);;
A364S;ABLZ(1283)-AROG(1283);;
A365S;ABLZ(1283)-AROG(1283);;
A362S;ABLZ(1283)-AROG(1283);;
A363S;ABLZ(1283)-AROG(1283);;
A361S;ABLZ(1283)-AROG(1283);;
AROG;;ABLZ(1283-0)-3/21-HB;ABLZ(1283-0)-3/21-HB
