RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
AROG;;ABLZ(2200-2)-1-HB;ABLZ(2200-2)-1-HB
A554R;AROG-ASAG;;
A553S;AROG-ASAG;;
A552R;AROG-ASAG;;
A551S;AROG-ASAG;;
AS;AROG-1-ASAG;;
A044S;AROG-ASAG;;
A043O;AROG-ASAG;;
A042S;AROG-ASAG;;
A041O;AROG-ASAG;;
AOBG;AROG-1-ASAG;;
A034O;AROG-ASAG;;
A033S;AROG-ASAG;;
A032O;AROG-ASAG;;
A031S;AROG-ASAG;;
ASAG;AROG-1-HB;;
A022S;ASAG-HUTB;;
A021R;ASAG-HUTB;;
AQSA;ASAG-HUTB;;
HBON;ASAG-902-HUTB;;
H966U;ASAG-HUTB;;
H964O;ASAG-HUTB;;
H965U;ASAG-HUTB;;
H963U;ASAG-HUTB;;
HUTB;AH-HBR A;;
HBR A;HUTB-2-HBR M;;
HBR M;HBR A-2-HBB 1421;;
HBR E;;HBR M-HBB;HBR M-HBB
