RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HBHP;;HBHW-101-HBH;HBHW-101-HBH
HBHLA;HBHP-HBHL;;
HBHL;HBHP-401-HBH;;
HBH;HBHP-201-HB;;
HBWU;HBH-2-HB;;
HQLO;HBH-HB;;
HLOA;HBH-HB;;
HLOX;HBH-HB;;
H804L;HBH-HB;;
H805L;HBH-HB;;
H815L;HBH-HB;;
H814L;HBH-HB;;
H823L;HBH-HB;;
H802L;HBH-HB;;
HLUN;HBH-HB;;
H803L;HBH-HB;;
H801L;HBH-HB;;
HSUB;HBH-402-HB;;
HLBR;HBH-2-HB;;
HOLB;HBH-2-HB;;
HOSS;HBH-302-HB;;
H222R;HBH-HB;;
H223O;HBH-HB;;
HRTH;HBH-HB;;
H220B;HBH-HB;;
HQRT;HBHV-HB;;
H221R;HBH-HB;;
HBB;HBH-4-HB 8;;
H210B;HBB-HB;;
H214B;HBB-HB;;
H213B;HBB-HB;;
H215B;HBB-HB;;
H212B;HBB-HB;;
H211B;HBB-HB;;
HBOS;HBB-HB;;
HBR E;;HBB-171HBR E;HBB-171HBR E
