RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HO  N;;HO S(2200-4)-83-HDIP(2200-1);HO S(2200-4)-83-HDIP(2200-1)
H21OB;HO-HDIP;;
H22BO;HO-HDIP;;
H23OB;HO-HDIP;;
H25OB;HO-HDIP;;
H24BO;HO-HDIP;;
HBEM;HO-1-HDIP;;
H01BV;HO-HDIP;;
H03BV;HO-HDIP;;
H02VB;HO-HDIP;;
HVEH;HO-1-HDIP;;
H21VO;HO-HDIP;;
H22OV;HO-HDIP;;
H23VO;HO-HDIP;;
H24OV;HO-HDIP;;
H26OV;HO-HDIP;;
HOSC;HO-1-HDIP;;
H01OB;HO-HDIP;;
H02BO;HO-HDIP;;
H03OB;HO-HDIP;;
H04BO;HO-HDIP;;
H05OB;HO-HDIP;;
H006B;HO-HDIP;;
HBOM;HO-2-HDIP;;
H09BD;HO-HDIP;;
H10DB;HO-HDIP;;
H11BD;HO-HDIP;;
H12DB;HO-HDIP;;
HQBO;HO-HDIP;;
HDRO;HO-202-HDIP;;
H533L;HO-HDIP;;
H534D;HO-HDIP;;
HQLM;HO-HDIP;;
HLMF;HO-502-HDIP;;
H537L;HO-HDIP;;
H538L;HO-HDIP;;
H540L;HO-HDIP;;
H539L;HO-HDIP;;
H541L;HO-HDIP;;
H542L;HO-HDIP;;
H544L;HO-HDIP;;
H543L;HO-HDIP;;
HLMB;HO-2-HDIP;;
H209D;HO-HDIP;;
H210L;HO-HDIP;;
H206L;HO-HDIP;;
H211D;HO-HDIP;;
H212L;HO-HDIP;;
H208L;HO-HDIP;;
HDIP;HO-2-HKI;;
H217D;HDIP-HKI;;
H218D;HDIP-HKI;;
H219D;HDIP-HKI;;
H220D;HDIP-HKI;;
HDRB;HDIP-1-HKI;;
H01DB;HDIP-HKI;;
H111B;HDIP-HKI;;
H02BD;HDIP-HKI;;
HBNF;HDIP-3-HKI;;
H21BD;HDIP-HKI;;
H121D;HDIP-HKI;;
H22DB;HDIP-HKI;;
HDRE;HDIP-2-HKI;;
H01DT;HDIP-HKI;;
H101T;HDIP-HKI;;
H02TD;HDIP-HKI;;
HT;HDIP-2-HKI;;
H21TB;HDIP-HKI;;
H121B;HDIP-HKI;;
H22BT;HDIP-HKI;;
H122B;HDIP-HKI;;
H23TB;HDIP-HKI;;
H123B;HDIP-HKI;;
H24BT;HDIP-HKI;;
H124B;HDIP-HKI;;
HBAS;HDIP-2-HKI;;
H01BB;HDIP-HKI;;
H02BB;HDIP-HKI;;
H102B;HDIP-HKI;;
HBRA;HDIP-1-HKI;;
H03BS;HDIP-HKI;;
H04SB;HDIP-HKI;;
HSYK;HDIP-202-HKI;;
H21SB;HDIP-HKI;;
HBAR;HDIP-HKI;;
H22KB;HDIP-HKI;;
HKI;HDIP-401/601-HGA H601;;
H01KD;HKI-HGA;;
H02DK;HKI-HGA;;
HDRY;HKI-HGA;;
HQDR;HKI-HGA;;
HGA;HKI-ASAG;;
H41GS;HGA-ASAG;;
H42SG;HGA-ASAG;;
AQSAG;HGA-ASAG;;
H43GS;HGA-ASAG;;
H44SG;HGA-ASAG;;
ASAG;HKI-4-AROG;;
A031S;ASAG-AROG;;
A032O;ASAG-AROG;;
A033S;ASAG-AROG;;
A034O;ASAG-AROG;;
AOBG;ASAG-2-AROG;;
A041O;ASAG-AROG;;
A042S;ASAG-AROG;;
A043O;ASAG-AROG;;
A044S;ASAG-AROG;;
AS;ASAG-2-AROG;;
A551S;ASAG-AROG;;
A552R;ASAG-AROG;;
A553S;ASAG-AROG;;
A554R;ASAG-AROG;;
AROG;;HB-6-ABLZ(2200-1);HB-6-ABLZ(2200-1)
