RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HSR;;HSR W(1750-1)-006-HSR O(1750-1);HSR W(1750-1)-006-HSR O(1750-1)
HSR O;HSR(1750-1)-006-HAHM(1750-1);;
H989S;HS  O-HLI;;
HAHM;HS  O-HWHN;;
H993S;HS  O-HLI;;
H992A;HS  O-HLI;;
HLIH;HAHM-HLI;;
HLI;HLIH(1750)-005-HWHN(1750);;
HLI R;HLI(1750)-135-HWHN(1750);;
H885L;HLI-HWHN;;
H894L;HLI-HWHN;;
H875L;HWHN-HLI;;
H884L;HLI-HWHN;;
HWHN;HLI(1750)-HWU(1753);;
HWU;HSR-413-HHML(1732-1);;
HHML;HWU(1732-1)-713-HRTN;;
H963R;HHML-HRTN;;
H964R;HHML-HRTN;;
HRTN;HHML-923/927-HSRD;;
H971S;HRTN-HSRD;;
H972R;HRTN-HSRD;;
H973S;HRTN-HSRD;;
H974R;HRTN-HSRD;;
HSRD;HRNT-12/2-HBNT;;
H81SB;HSRD-HBNT;;
H82BS;HSRD-HBNT;;
HBNT;HSRD-1-HNOS;;
HNOS;HBNT-2-HELZ;;
H01NE;HNOS-HELZ;;
H02EN;HNOS-HELZ;;
H03NE;HNOS-HELZ;;
H103E;HNOS-HELZ;;
H04EN;HNOS-HELZ;;
H05NE;HNOS-HELZ;;
H06EN;HNOS-HELZ;;
H106E;HNOS-HELZ;;
H07NE;HNOS-HELZ;;
H08EN;HNOS-HELZ;;
HELZ;HNOS-2-HK;;
H3603;HELZ--HK;;
H3602;HELZ-HK;;
H3605;HELZ-HK;;
H3604;HELZ-HK;;
H3607;HELZ-HK;;
H3606;HELZ-HK;;
HBAN;HELZ-202-HK;;
H3613;HELZ-HK;;
H3612;HELZ-HK;;
H3715;HELZ-HK;;
H3714;HELZ-HK;;
H3717;HELZ-HK;;
H3716;HELZ-HK;;
HGOD;HELZ-301-HK;;
H3721;HELZ-HK;;
H3820;HELZ-HK;;
HALF;HELZ-502-HK;;
H3825;HELZ-HK;;
H0125;HELZ-HK;;
H3824;HELZ-HK;;
H3827;HELZ-HK;;
H0126;HELZ-HK;;
H3826;HELZ-HK;;
H3829;HELZ-HK;;
H3928;HELZ-HK;;
H3931;HELZ-HK;;
H3930;HELZ-HK;;
H3933;HELZ-HK;;
H3932;HELZ-HK;;
HFRE;HELZ-301-HK;;
H3941;HELZ-HK;;
H3940;HELZ-HK;;
H3943;HELZ-HK;;
H3942;HELZ-HK;;
H4045;HELZ-HK;;
H0145;HELZ-HK;;
H4044;HELZ-HK;;
H4047;HELZ-HK;;
H0146;HELZ-HK;;
H4046;HELZ-HK;;
H4049;HELZ-HK;;
H4048;HELZ-HK;;
H4051;HELZ-HK;;
H4050;HELZ-HK;;
HK;HELZ-503-HEB;;
H4053;HK-HN;;
H4052;HK-HN;;
H4055;HK-HN;;
H4154;HK-HN;;
H4157;HK-HN;;
H0156;HK-HN;;
H4156;HK-HN;;
H4159;HK-HN;;
H4158;HK-HN;;
HEB;HK-401-HN;;
H4163;HK-HN;;
H121E;HK-HN;;
H122E;HK-HN;;
H124E;HEB-HEDN;;
H123E;HEB-HEDN;;
H126E;HEB-HEDN;;
HEDN;HK-HN;;
HEDS;HK-HN;;
HN;HK-2/102-HNTH;;
HN  G;HK-102-HNTH;;
H31NN;HN-HNTH;;
H32NN;HN-HNTH;;
H33NN;HN-HNTH;;
H34NN;HN-HNTH;;
H35NN;HN-HNTH;;
H36NN;HN-HNTH;;
H37NN;HN-HNTH;;
HNTH;HN(1732)-2-HG(1732);;
H551G;HNTH-HG;;
H552G;HNTH-HG;;
H553G;HNTH-HG;;
H554G;HNTH-HG;;
H555G;HNTH-HG;;
H556G;HNTH-HG;;
HG  N;HNTH-312-HG;;
HG  G;;HNTH-112-HG;HNTH-112-HG
