RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
WRS;;127-WRD;127-WRD
WRD;WRSS-WRKD;;
WRSS;WRS-43-WRKD;;
WRKD;WRS-WWBO;;
WRK;WRKD-WWBO;;
WWBO;WRK-WWBW;;
WWBW;WWBO-WDF;;
WDF N;WWBW-WSN;;
WDF;WWBW-WSN;;
WPF;WDF-WPOE;;
WPOE;WDF-2-WSN;;
WHU;WPOE-WSN;;
WSN;WPOE-12-WSNA;;
WSN S;WSN-2-WB;;
WB;WSNA-2-WWRN;;
WWRN;WB-2-WBL;;
WFRW;WWRN-WBL;;
WBL;WWRN-2-WVE;;
WVE;WB-WK;;
WK;WVE-2-WLST;;
W 96;WK-WLST;;
W 93;WK-WLST;;
W 94;WK-WLST;;
W 92;WK-WLST;;
W 91;WK-WLST;;
WLST;WK-2-WS;;
WCAH;WLST-2-WS;;
WS;WK-4-WSGR;;
WSMI;WS-WSGR;;
W6292;WS-WSGR;;
W6293;WS-WSGR;;
WSGN;WS-WSGR;;
WSGR;WS-2-WHO;;
W6394;WSGR-WHO;;
W6383;WSGR-WHO;;
WSS;WSGR-WHO;;
WHO;WSGR-2-WL;;
WSLT;WHO-WRW;;
WRW;WHO-1-WL;;
WLOW;WRW-1-WL;;
W5472;WLOW-WL;;
W5471;WLOW-WL;;
WL;WHO-12-WGRB;;
W5486;WL-WGRB;;
W5487;WL-WGRB;;
W5484;WL-WGRB;;
W5485;WL-WGRB;;
W5382;WL-WGRB;;
W5383;WL-WGRB;;
WGRB;WL-2-WKWA;;
W5388;WGRB-WKWA;;
W5389;WGRB-WKWA;;
W5386;WGRB-WKWA;;
W5395;WGRB-WKWA;;
W5387;WGRB-WKWA;;
W5284;WGRB-WKWA;;
W5294;WGRB-WKWA;;
W5285;WGRB-WKWA;;
W5282;WGRB-WKWA;;
W5283;WGRB-WKWA;;
WQKW;WGRB-WKWA;;
WKWA;WGRB-2-WKT;;
W5290;WKWA-WKT;;
W5291;WKWA -WKT;;
W5288;WKWA-WKT;;
W5295;WKWA-WKT;;
W5289;WKWA-WKT;;
W5286;WKWA-WKT;;
W5287;WKWA-WKT;;
W5184;WKWA-WKT;;
W5194;WKWA-WKT;;
W5185;WKWA-WKT;;
W5182;WKWA-WKT;;
W5183;WKWA-WKT;;
WKT;WKWA-02-WDN;;
W5190;WKT-WDN;;
W5191;WKT-WDN;;
W5195;WKT-WDN;;
W5188;WKT-WDN;;
W5187;WKT-WDN;;
W3786;WKT-WDN;;
W3794;WKT-WDN;;
W3785;WKT-WDN;;
W3782;WKT-WDN;;
W3783;WKT-WDN;;
WDN;WKT-2-WW;;
W3788;WDN-WW;;
W3791;WDN-WW;;
W3795;WDN-WW;;
W3784;WDN-WW;;
W3787;WDN-WW;;
W3780;WDN-WW N;;
W3796;WDN-WW;;
W3779;WDN-WW;;
W3776;WDN-WW;;
W3775;WDN-WW;;
WW  N;WDN-42-WW;;
WW;;WW N-2-WWIL;WW N-2-WWIL
