RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BBRI;;BFIN-33-BNAU;BFIN-33-BNAU
B7313;BBRI-BNAU;;
B7314;BBRI-BNAU;;
B7415;BBRI-BNAU;;
B7416;BBRI-BNAU;;
B7417;BBRI-BNAU;;
B7418;BBRI-BNAU;;
B7420;BBRI-BNAU;;
B7419;BBRI-BNAU;;
B7422;BBRI-BNAU;;
BNAU;BBRI-33-WNS;;
B7443;BNAU-WNS;;
B7445;BNAU-WNS;;
B7430;BNAU-WNS;;
W3185;BNAU-WNS;;
W3187;BNAU-WNS;;
W3186;BNAU-WNS;;
W3188;BNAU-WNS;;
W3189;BNAU-WPAU;;
W3190;BNAU-WPAU;;
WPAU;BNAU-1-WFRK;;
W3193;WPAU-WFRK;;
W3194;WPAU-WFRK;;
W3195;WPAU-WFRK;;
W3197;WPAU-WFRK;;
W3282;WPAU-WFRK;;
W3284;WPAU-WFRK;;
W3285;WPAU-WFRK;;
W3286;WPAU-WFRK;;
WFRK;WPAU-1-WNS;;
W3289;WFRK-WNS;;
W3290;WFRK-WNS;;
W3291;WFRK-WNS;;
W3293;WFRK-WNS;;
W3384;WFRK-WNS;;
W3382;WFRK-WNS;;
W3381;WFRK-WNS;;
W3386;WFRK-WNS;;
WNS G;WFRK-1-WNS;;
WNS;WFRK-1-WBDN;;
W3390;WNS-WBDN;;
W3385;WNS-WBDN;;
W3389;WNS-WBDN;;
W3387;WNS-WBDN;;
W3396;WNS-WBDN;;
W3487;WNS-WBDN;;
W3496;WNS-WBDN;;
W3486;WNS-WBDN;;
W3489;WNS-WBDN;;
W3488;WNS-WBDN;;
WBDN;WNS-1-WGF;;
W3483;WBDN-WGF;;
W3482;WBDN-WGF;;
W3492;WBDN-WGF;;
W3485;WBDN-WGF;;
W3484;WBDN-WGF;;
W3495;WBDN-WGF;;
W3586;WBDN-WGF;;
WGF;WBDN-1-WWIL;;
W3583;WGF-WWIL;;
W3592;WGF-WWIL;;
W3582;WGF-WWIL;;
W3595;WGF-WWIL;;
W3585;WGF-WWIL;;
W3684;WGF-WWIL;;
WWIL;WGF-1-WW;;
W3673;WWIL-WW;;
W3672;WWIL-WW;;
W3694;WWIL-WW;;
W3675;WWIL-WW;;
W3674;WWIL-WW;;
W3091;WWIL-WW;;
W3090;WWIL-WW;;
W3092;WWIL-WW;;
W3095;WWIL-WW;;
W3094;WWIL-WW;;
WW;;WWIL-7-WW N;WWIL-7-WW N
