RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NWH;;NN-16-FFU 8;NN-16-FFU 8
N 848;NWH-FFU;;
N 898;NWH-FFU;;
NNB;NWH-FFU;;
NES;NWH-FFU;;
NHW;NWH-FFU;;
NRB;NWH-3-FFU;;
NMUB;NWH-FFU;;
NBNB;NWH-405-FFU;;
NDI;NWH-FFU;;
NQMO;NWH-FFU;;
NAG;NWH-FFU;;
NMOT;NWH-104-FFU;;
YFNLM;NMOT-FLRS;;
FLRS;NMOT-FLRN;;
FLRN;FLRS-FHAG;;
FHAG;FLRN-FFU_B;;
FFU B;FHAG-FFU-1733;;
FFU;FFU_B-6-FFU_N-1733;;
FFU N;FFU-FDIE-1733;;
F052D;FFU_N-FLSW;;
F022A;FFU_N-FLSW;;
FDIE;FFU_N-FMIR;;
FMIR;FDIE-FLSW;;
FLSW;FMIR-632-FRIH;;
FRIH;FLSW-FHAH;;
FHAH;FRIH-FKHM;;
FKHM;FHAH-42-FMBA;;
FMBA;FKHM-FLIR;;
F260B;FMBA-FLIR;;
F290B;FMBA-FLIR;;
F289A;FMBA-FLIR;;
F259A;FMBA-FLIR;;
FLIR;FMBA-242-FWIL;;
FWIL;FLIR-FKAS;;
F104A;FWIL-FKOT;;
F134A;FWIL-FKOT;;
F133A;FWIL-FKOT;;
F103E;FWIL-FKOT;;
FKOT;FKAS-803-FSWR;;
FSWR;FKOT-FKEI;;
FKEI;FSWR-FKOA;;
FKOA;FKEI-683-FKW-1733;;
FKW;FKOA-503-FKR_S-D-1733/3913;;
FKR S;FKW-1-W- FKR;;
FKR;;FKW-352-FKRB;FKW-352-FKRB
