RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
MN  A;;MN  L-612-MN  M;MN  L-612-MN  M
MN  M;MN  A-MN  F;;
MN  F;MN  M-MOL;;
M 502;MMBH-MOL;;
YMMOL;MMBH-MOL;;
M503A;MMBH-MOL;;
MOL;MN  L-6-MA(5581) 8;;
M 403;MOL-MA;;
M 402;MOL-MA;;
M 405;MOL-MA;;
M 404;MOL-MA;;
M 406;MOL-MA;;
M407A;MOL-MA;;
M408A;MOL-MA;;
MMA A;MOL-3-MA;;
M 411;MOL-MA;;
M412A;MOL-MA;;
M 413;MOL-MA;;
M414B;MOL-MA;;
MMAM;MP-3-MA;;
M415A;MOL-MA;;
M416A;MOL-MA;;
M417A;MOL-MA;;
M 418;MOL-MA;;
M419A;MOL-MA;;
M420A;MOL-MA;;
M421A;MOL-MA;;
M 422;MOL-MA;;
MHMR;MOL-MA;;
M 423;MOL-MA;;
M 424;MOL-MA;;
M 425;MOL-MA;;
M 426;MOL-MA;;
MAHB;MOL-MA;;
M 427;MOL-MA;;
M 428;MOL-MA;;
M 429;MOL-MA;;
M 431;MOL-MA;;
M 430;MOL-MA;;
M 433;MOL-MA;;
M 432;MOL-MA;;
MMR;MP-1303-MA;;
M435A;MOL-MA;;
MSAF;MOL-MA;;
M434A;MOL-MA;;
M437;MOL-MA;;
M436;MOL-MA;;
MKIS;MOL-1203-MA;;
M441;MOL-MA;;
M440;MOL-MA;;
M443;MOL-MA;;
M442;MOL-MA;;
M 445;MOL-MA;;
M444B;MOL-MA;;
MAHZH;MOL-MA;;
M 447;MOL-MA;;
M 446;MOL-MA;;
M449A;MOL-MA;;
M448A;MOL-MA;;
MAHA;MOL-MA;;
MA;MOL-2/417-MDT 6;;
MAOB;MA(5300-1)-3-MDT;;
M199A;MA-MDT;;
M 198;MA-MDT;;
MGHF;MA-102-MDT;;
M 203;MA-MDT;;
M202A;MA-MDT;;
MGAL;MA-3-MDT;;
M205A;MA-MDT;;
MLAW;MA-MDT;;
M 204;MA-MDT;;
MSTW;MA-MDT;;
MHEH;MA-MDT;;
MMEI;MA-1-MDT;;
MWDF;MA-MDT;;
M206A;MA-MDT;;
M207A;MA-MDT;;
M257A;MA-MDT;;
MNOD;MA-MDT;;
M258A;MA-MDT;;
M208A;MA-MDT;;
M209A;MA-MDT;;
M259A;MA-MDT;;
M210A;MA-MDT;;
M211A;MA-MDT;;
MMTG;MA-830-MDT;;
M269A;MA-MDT;;
MBHM;MA-MDT;;
M268A;MA-MDT;;
M271A;MA-MDT;;
M272A;MA-MDT;;
MDT;MA-030-MTL;;
M 633;MDT-MTL;;
M 683;MDT-MTL;;
M 634;MDT-MTL;;
M 637;MDT-MTL;;
M 638;MDT-MTL;;
M 688;MDT-MTL;;
MMDL;MDT-310-MTL;;
M 693;MDT-MTL;;
M643A;MDT-MTL;;
M644A;MDT-MTL;;
M 694;MDT-MTL;;
M 647;MDT-MTL;;
M 697;MDT-MTL;;
M 648;MDT-MTL;;
MOTW;MDT-1-MTL;;
M 663;MDT-MTL;;
M 664;MDT-MTL;;
M 699;MDT-MTL;;
M 665;MDT-MTL;;
M 696;MDT-MTL;;
M 672;MDT-MTL;;
M673A;MDT-MTL;;
M674A;MDT-MTL;;
MTL;;MDT-5-NWH;MDT-5-NWH
