RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
MTL;;NN-9-MDT 5;NN-9-MDT 5
M674A;MTL-MDT;;
M673A;MTL-MDT;;
M 672;MTL-MDT;;
M 696;MTL-MDT;;
M 665;MTL-MDT;;
M 699;MTL-MDT;;
M 664;MTL-MDT;;
M 663;MTL-MDT;;
MOTW;MTL-3-MDT;;
M 648;MTL-MDT;;
M 697;MTL-MDT;;
M 647;MTL-MDT;;
M 694;MTL-MDT;;
M644A;MTL-MDT;;
M643A;MTL-MDT;;
M 693;MTL-MDT;;
MMDL;MTL-320-MDT;;
M 688;MTL-MDT;;
M 638;MTL-MDT;;
M 637;MTL-MDT;;
M 634;MTL-MDT;;
M 683;MTL-MDT;;
M 633;MTL-MDT;;
MDT;MTL-050-MA;;
M272A;MDT-MA;;
M271A;MDT-MA;;
M268A;MDT-MA;;
MBHM;MDT-MA;;
M269A;MDT-MA;;
MMTG;MDT-820-MA;;
M211A;MDT-MA;;
M210A;MDT-MA;;
M259A;MDT-MA;;
M209A;MDT-MA;;
M208A;MDT-MA;;
M258A;MDT-MA;;
MNOD;MDT-MA;;
M257A;MDT-MA;;
M207A;MDT-MA;;
M206A;MDT-MA;;
MWDF;MDT-MA;;
MMEI;MDT-2-MA;;
MHEH;MDT-MA;;
MSTW;MDT-MA;;
M 204;MDT-MA;;
MLAW;MDT-MA;;
M205A;MDT-MA;;
MGAL;MDT-2-MA;;
M202A;MDT-MA;;
M 203;MDT-MA;;
MGHF;MDT-103-MA;;
M 198;MDT-MA;;
M199A;MDT-MA;;
MAOB;MDT-5-MA(5300-2);;
MA;MDT-6/616-MOL 10;;
MAHA;MA-MOL;;
M448A;MA-MOL;;
M449A;MA-MOL;;
M 446;MA-MOL;;
M 447;MA-MOL;;
MAHZH;MA-MOL;;
M444B;MA-MOL;;
M 445;MA-MOL;;
M442;MA-MOL;;
M443;MA-MOL;;
M440;MA-MOL;;
M441;MA-MOL;;
MKIS;MA-1201-MOL;;
M436;MA-MOL;;
M437;MA-MOL;;
M434A;MA-MOL;;
MSAF;MA-MOL;;
M435A;MA-MOL;;
MMR;MA-1304-MP;;
M 432;MA-MOL;;
M 433;MA-MOL;;
M 430;MA-MOL;;
M 431;MA-MOL;;
M 429;MA-MOL;;
M 428;MA-MOL;;
M 427;MA-MOL;;
MAHB;MA-MOL;;
M 426;MA-MOL;;
M 425;MA-MOL;;
M 424;MA-MOL;;
M 423;MA-MOL;;
MHMR;MA-MOL;;
M 422;MA-MOL;;
M421A;MA-MOL;;
M420A;MA-MOL;;
M419A;MA-MOL;;
M 418;MA-MOL;;
M417A;MA-MOL;;
M416A;MA-MOL;;
M415A;MA-MOL;;
MMAM;MA-5-MP;;
M414B;MA-MOL;;
M 413;MA-MOL;;
M412A;MA-MOL;;
M 411;MA-MOL;;
MMA A;MA-4-MOL;;
M408A;MA-MOL;;
M407A;MA-MOL;;
M 406;MA-MOL;;
M 404;MA-MOL;;
M 405;MA-MOL;;
M 402;MA-MOL;;
M 403;MA-MOL;;
MOL;MA(5581)-3-MN  L;;
M503A;MOL-MMBH;;
YMMOL;MOL-MMBH;;
M 502;MOL-MMBH;;
MN  F;MOL-MN  M;;
MN  M;MN  F-MN  T;;
MN  T;MN  M-MN  A;;
MN  A;;MN  T-608-MN  A;MN  T-608-MN  A
