RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
MN  A;;MN  L-612-MN  M;MN  L-612-MN  M
MN  M;MN  A-MN  F;;
MN  F;MN  M-MOL;;
M 502;MMBH-MOL;;
YMMOL;MMBH-MOL;;
M503A;MMBH-MOL;;
MOL;MN  L-6-MA(5581) 8;;
M 403;MOL-MA;;
M 402;MOL-MA;;
M 405;MOL-MA;;
M 404;MOL-MA;;
M 406;MOL-MA;;
M407A;MOL-MA;;
M408A;MOL-MA;;
MMA A;MOL-3-MA;;
M 411;MOL-MA;;
M412A;MOL-MA;;
M 413;MOL-MA;;
M414B;MOL-MA;;
MMAM;MP-3-MA;;
M415A;MOL-MA;;
M416A;MOL-MA;;
M417A;MOL-MA;;
M 418;MOL-MA;;
M419A;MOL-MA;;
M420A;MOL-MA;;
M421A;MOL-MA;;
M 422;MOL-MA;;
MHMR;MOL-MA;;
M 423;MOL-MA;;
M 424;MOL-MA;;
M 425;MOL-MA;;
M 426;MOL-MA;;
MAHB;MOL-MA;;
M 427;MOL-MA;;
M 428;MOL-MA;;
M 429;MOL-MA;;
M 431;MOL-MA;;
M 430;MOL-MA;;
M 433;MOL-MA;;
M 432;MOL-MA;;
MMR;MP-1303-MA;;
M435A;MOL-MA;;
MSAF;MOL-MA;;
M434A;MOL-MA;;
M437;MOL-MA;;
M436;MOL-MA;;
MKIS;MOL-1203-MA;;
M441;MOL-MA;;
M440;MOL-MA;;
M443;MOL-MA;;
M442;MOL-MA;;
M 445;MOL-MA;;
M444B;MOL-MA;;
MAHZH;MOL-MA;;
M 447;MOL-MA;;
M 446;MOL-MA;;
M449A;MOL-MA;;
M448A;MOL-MA;;
MAHA;MOL-MA;;
MA;MOL-2/306-TU(FB) 6;;
MAOB;MA(5302-1)-1-MAHI;;
MAHI;MA-1-MDKS;;
MNES;MA-TU;;
MWHS;MA-3-TU;;
M111A;MA-TU;;
M110A;MA-TU;;
M113A;MA-TU;;
MDID;MA-TU;;
M112A;MA-TU;;
M 115;MA-TU;;
M114A;MA-TU;;
MGHN;MA-3-MNFG;;
M119A;MA-TU;;
MKUN;MA-TU;;
M118A;MA-TU;;
M 121;MA-TU;;
M120A;MA-TU;;
M 123;MA-TU;;
M 122;MA-TU;;
M 125;MA-TU;;
M 124;MA-TU;;
MDKS;MA-3-TU;;
M  1A;MA-TU;;
M  2B;MA-TU;;
M  3B;MA-TU;;
M   4;MA-TU;;
M   5;MA-TU;;
M   6;MA-TU;;
MFHD;MA-TU;;
MFHU;MA-2-TU;;
M  11;MA-TU;;
M  12;MA-TU;;
MJET;MA-TU;;
M  13;MA-TU;;
M  14;MA-TU;;
MBGU;MA-2-TU;;
M  15;MA-TU;;
M  16;MA-TU;;
M  17;MA-TU;;
MMAH;MA-TU;;
M  19;MA-TU;;
M  18;MA-TU;;
M  21;MA-TU;;
M  20;MA-TU;;
MOFF;MA-1-TU;;
YKMNO;MDKS-MNFG;;
MNFG;MA-4-TU;;
M151U;MNFG-MGZB;;
M152U;MNFG-MGZB;;
M153U;MNFG-MGZB;;
M154U;MNFG-MGZB;;
MGZB;MNFG-3-TU;;
M155U;MNFG-TU;;
M156U;MNFG-TU;;
M157U;MNFG-TU;;
M158U;MNFG-TU;;
MLEH;MNFG-TU;;
M159U;MNFG-TU;;
M160U;MNFG-TU;;
M161U;MNFG-TU;;
M162U;MNFG-TU;;
MUFH;MNFG-4-TU;;
MNSG;MNFG-2-TU;;
M165U;MNFG-TU;;
M166U;MNFG-TU;;
M167U;MNFG-TU;;
M168U;MNFG-TU;;
M169U;MNFG-TU;;
M170U;MNFG-TU;;
MNM;MA-1-TU;;
TQUF;MA-TU;;
TU;MA-F-10 RBF 1-8;;
TU  R;;TU-10-504;TU-10-504
