RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
MTL;;MTL15-NN;MTL15-NN
N 411;MTL-NN;;
N 412;MTL-NN;;
N 413;MTL-NN;;
N 513;MTL-NN;;
N 514;MTL-NN;;
N 414;MTL-NN;;
N 415;MTL-NN;;
N 416;MTL-NN;;
NWG;MTL-2-NN;;
N 417;MTL-NN;;
N 418;MTL-NN;;
NEL;MTL-NN;;
N 420;MTL-NN;;
N 419;MTL-NN;;
NPLF;MTL-2-NN;;
N  1E;MTL-NN;;
N  2B;MTL-NN;;
N  4C;MTL-NN;;
NMST;MTL-NN;;
N  3B;MTL-NN;;
NGE;MTL-4-NN;;
N   7;MTL-NN;;
N   8;MTL-NN;;
NUT;MTL-NN;;
N 10A;MTL-NN;;
NRO;NPLF-2-NSC;;
N 12A;NRO-NN;;
N 11A;NRO-NN;;
N 14A;NRO-NN;;
N 13A;NRO-NN;;
NSC;NRO-4-NN;;
N 22B;NRO-NN;;
N 21B;NRO-NN;;
NNRF;NRO-3-NNEI(5943);;
NNEI;NNRF-24-NNR B;;
NNR B;NNEI(5943)-551-NNR A;;
NNR A;;NNR B-551/311-NNLW(5962);NNR B-551/311-NNLW(5962)
