RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
XASB;;XASB419-MFL;XASB419-MFL
XAML;XASB-981-MFL;;
XAAI;XASB-961-MFL;;
XASBG;XASB-MFL;;
XATX;XASB-931-MFL;;
XA 22;XASB-MFL;;
XA 21;XASB-MFL;;
XA 11;XASB-MFL;;
XA 12;XASB-MFL;;
XALIW;XASB-901-MFL;;
MXSZ;XASB-MFL;;
MFL;XASB-4-MTS;;
M 282;MFL-MTS;;
M 281;MFL-MTS;;
M 280;MFL-MTS;;
M 277;MFL-MTS;;
M 278;MFL-MTS;;
MTO;XASB-603-MRO;;
M 274;MFL-MTS;;
M 273;MFL-MTS;;
M272B;MFL-MTS;;
M 270;MFL-MTS;;
M271B;MFL-MTS;;
MLT;MFL-MTS;;
MHFG;MFL-MTS;;
M 267;MFL-MTS;;
MTS;XASB-3-MRO;;
M 264;MTS-MRO;;
M 265;MTS-MRO;;
M 262;MTS-MRO;;
MBE;MTS-MRO;;
M 363;MTS-MRO;;
M 263;MTS-MRO;;
MRUM;MTS-MRO;;
M 260;MTS-MRO;;
M259B;MTS-MRO;;
MUS;XASB-303-MRO;;
M258B;MTS-MRO;;
M257C;MTS-MRO;;
MROT;MTS-MRO;;
M 254;MTS-MRO;;
MBN;MTS-MRO;;
M 253;MTS-MRO;;
M 252;MTS-MRO;;
M 251;MTS-MRO;;
MPR;MFL-2402-MRO;;
M 332;MPR-MRO;;
M 334;MPR-MRO;;
M 333;MPR-MRO;;
MRG;MPR-MRO;;
M 331;MPR-MRO;;
MBEF;MFL-2-MRO;;
M 328;MPR-MRO;;
M 327;MPR-MRO;;
M 324;MPR-MRO;;
M326A;MPR-MRO;;
M323A;MPR-MRO;;
M322A;MPR-MRO;;
M 321;MPR-MRO;;
MALD;MPR-2-MRO;;
MART;MPR-2-MRO;;
MRO;MPR-2-MH 10;;
M 258;MRO-MGB;;
M257B;MRO-MGB;;
MGKU;MRO-MGB;;
MGK;MRO-MGB;;
M254A;MRO-MGB;;
M253A;MRO-MGB;;
M252A;MRO-MGB;;
M251A;MRO-MGB;;
M250A;MRO-MGB;;
M249A;MRO-MGB;;
MOM;MRO-1-MGB;;
M 246;MRO-MGB;;
M 245;MRO-MGB;;
M 243;MRO-MGB;;
M 244;MRO-MGB;;
MAG;MRO-1-MGB;;
M 240;MRO-MGB;;
M 237;MRO-MGB;;
M 238;MRO-MGB;;
M 235;MRO-MGB;;
MGB;MRO(5510)-3-MTR;;
M 234;MGB-MTR;;
M 233;MGB-MTR;;
MKO;MGB-3-MTR;;
M 230;MGB-MTR;;
M 229;MGB-MTR;;
MZO;MGB(5510)-203-MTR;;
M 226;MGB-MTR;;
M225B;MGB-MTR;;
M224A;MGB-MTR;;
M223B;MGB-MTR;;
M222A;MGB-MTR;;
M221B;MGB-MTR;;
M 220;MGB-MTR;;
M 219;MGB-MTR;;
M 218;MGB-MTR;;
M 217;MGB-MTR;;
MHR;MGB(5510)-2-MTR;;
M 216;MGB-MTR;;
M 215;MGB-MTR;;
MWTR;MGB(5510)-2-MTR(5560);;
MTR;MWTR(5560)-6-MOL(5560);;
MDFG;MTR-2-MJK;;
MEGS;MTR-MJK;;
MJK;MDFG-262/232-MFM;;
MFM;MJK-2-MMBH;;
MMBH;MJK-5-MN  L;;
MN  L;MMBH-MN  A(7928);;
MN  A;;MN  L-608-MN  T;MN  L-608-MN  T
