RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
XAKN;;XAWL-508-MRO;XAWL-508-MRO
MXKU;XAKN-MRO;;
MKI;XAKN-3402-MRO;;
M 296;MKI-MRO;;
M 295;MKI-MRO;;
MOD;MKI-MRO;;
MODU;MKU-MKI;;
M 291;MKI-MRO;;
M 292;MKI-MRO;;
MFI;MKI-3303-MRO;;
MFLI;MKI-MRO;;
MBB;MKI-3202-MRO;;
M 286;MKI-MRO;;
M 285;MKI-MRO;;
MRA;MKI-3102-MRO;;
MPFR;MKI-MRO;;
M282A;MKI-MRO;;
M281A;MKI-MRO;;
MARS;MKI-2-MRO;;
MRO;XAKN-3-MH 12;;
M 258;MRO-MGB;;
M257B;MRO-MGB;;
MGKU;MRO-MGB;;
MGK;MRO-MGB;;
M254A;MRO-MGB;;
M253A;MRO-MGB;;
M252A;MRO-MGB;;
M251A;MRO-MGB;;
M250A;MRO-MGB;;
M249A;MRO-MGB;;
MOM;MRO-1-MGB;;
M 246;MRO-MGB;;
M 245;MRO-MGB;;
M 243;MRO-MGB;;
M 244;MRO-MGB;;
MAG;MRO-1-MGB;;
M 240;MRO-MGB;;
M 237;MRO-MGB;;
M 238;MRO-MGB;;
M 235;MRO-MGB;;
MGB;MRO(5510)-3-MTR;;
M 234;MGB-MTR;;
M 233;MGB-MTR;;
MKO;MGB-3-MTR;;
M 230;MGB-MTR;;
M 229;MGB-MTR;;
MZO;MGB(5510)-203-MTR;;
M 226;MGB-MTR;;
M225B;MGB-MTR;;
M224A;MGB-MTR;;
M223B;MGB-MTR;;
M222A;MGB-MTR;;
M221B;MGB-MTR;;
M 220;MGB-MTR;;
M 219;MGB-MTR;;
M 218;MGB-MTR;;
M 217;MGB-MTR;;
MHR;MGB(5510)-2-MTR;;
M 216;MGB-MTR;;
M 215;MGB-MTR;;
MWTR;MGB(5510)-2-MTR(5560);;
MTR;MWTR(5560)-6-MOL(5560);;
MDFG;MTR-2-MJK;;
MEGS;MTR-MJK;;
MJK;MDFG-262/232-MFM;;
MFM;MJK-2-MMBH;;
MMBH;MJK-5-MN  L;;
MN  L;MMBH-MN  A(7928);;
MN  A;;MN  L-608-MN  T;MN  L-608-MN  T
