RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NNR A;;NNLW-307/742-NNR B;NNLW-307/742-NNR B
NNR B;NNR A(5950)-742-NHMA(5950);;
NHMA;NNR B-722-NF;;
N 710;NHMA-NF;;
N 709;NHMA-NF;;
NNGR;NNR B-203-NF;;
NF  G;NHMA(5950)-11/42-NF(Gleis 6);;
NF;NF  G-42/4-NBA 6;;
N 41D;NF-NBA;;
N 40B;NF-NBA;;
NFUB;NF-NBA;;
N 43C;NF-NBA;;
N 42C;NF-NBA;;
NVA;NF-2902-NBA;;
N2947;NF-NBA;;
N2946;NF-NBA;;
NEF;NF-NBA;;
NEFU;NF-NBA;;
NERB;NF-2721-NBA;;
NER G;NF-2761-NBA;;
NER;NF-2761/2701-NBA;;
N2755;NF-NBA;;
NBTH;NF-NBA;;
N2756;NF-NBA;;
NBD;NF-502-NBA;;
N 431;NF-NBA;;
NKCH;NF-NBA;;
N432A;NF-NBA;;
NAUG;NF-1-NBA;;
NTRU;NF-1-NBA;;
NFO;NF-3-NBA;;
N441B;NF-NBA;;
N 440;NF-NBA;;
NEO;NF-NBA;;
NBT;NF-NBA;;
NHI;NF-2-NBA;;
NSU;NF-2-NBA;;
N101D;NF-NBA;;
N102D;NF-NBA;;
NBA;;NF-11-NS Dwli;NF-11-NS Dwli
