RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NBA;;NLF-08-NF 6;NLF-08-NF 6
N102D;NBA-NF;;
N101D;NBA-NF;;
NSU;NBA-3-NF;;
NHI;NBA-1-NF;;
NBT;NBA-NF;;
NEO;NBA-NF;;
N 440;NBA-NF;;
N441B;NBA-NF;;
NFO;NBA-2-NF;;
NTRU;NBA-2-NF;;
NAUG;NBA-2-NF;;
N432A;NBA-NF;;
NKCH;NBA-NF;;
N 431;NBA-NF;;
NBD;NBA-501-NF;;
N2756;NBA-NF;;
NBTH;NBA-NF;;
N2755;NBA-NF;;
NER;NBA-2704-NF;;
NER G;NBA-2764-NF;;
NERB;NBA-2714-NF;;
NEFU;NBA-NF;;
NEF;NBA-NF;;
N2946;NBA-NF;;
N2947;NBA-NF;;
NVA;NBA-2901-NF;;
N 42C;NBA-NF;;
N 43C;NBA-NF;;
NFUB;NBA-NF;;
N 40B;NBA-NF;;
N 41D;NBA-NF;;
NF;NBA-3-NF  G;;
NF  G;NF-13-NHMA;;
NNGR;NF-204-NNR B;;
N 709;NF-NHMA;;
N 710;NF-NHMA;;
NHMA;NF-721-NNR B;;
NNR B;NHMA(5950)-551-NNR A(5950);;
NNR A;;NNR B-551/311-NNLW(5962);NNR B-551/311-NNLW(5962)
