RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LHG U;;LHG-39-LHGM;LHG-39-LHGM
LHG M;LHGU-150-LK;;
LZBR;LH-LK;;
LBI;LH-LK;;
LNM;LH-2-LK;;
LSTF;LH-2-LK;;
LWG;LH-LK;;
LAF;LH-LK;;
LK  R;LH-8-LK;;
LK  C;LH-8-LK;;
LK  D;LH-8-LK;;
LK;LKD(6403)-8/8-LCBO;;
LOSM;LK-LCBO;;
LWU;LK-LCBO;;
LSAD;LK-2-LCBO;;
L0340;LSAD-LCBO;;
L0341;LSAD-LCBO;;
LCBO;LK-2102-LSEE;;
LSEE;LCBO-LSB;;
L0130;LSEE-LSB;;
L0132;LSEE-LSB;;
LGND;LSEE-LSB;;
L0131;LSEE-LSB;;
L0129;LSEE-LSB;;
L5527;LSEE-LSB;;
L5525;LSEE-LSB;;
LSBF;LSEE-LSB;;
L5526;LSEE-LSB;;
L5528;LSEE-LSB;;
LSB;LSEE-4-LMSO(6406);;
LSB G;LSB(6406)-4-LMSO(6406) 12;;
L5517;LSB-LMSO;;
L5512;LSB-LMSO;;
LMSO;LSB(6406)-4-LMB(6406);;
LMB B;LMSO-52-LMB(Gl5);;
LMB;LSB(6406)-5-LM(6406);;
LM;LMB-10-LGLB(6406);;
LMN;LM(6406)-5-LMR;;
LMR;LMN-B4/B3-LMRF;;
LMR F;;LMR-A8-LGLB;LMR-A8-LGLB
