RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
RMR E;;RH-RRE;RH-RRE
RMR K;RMR E-RRE;;
RRE;RMR-RMW;;
RMKL;RRE-N 1-RMW;;
RMW;RRE-R 5/25-FLP;;
RMW G;RRE-R 5/25-FLP;;
R  1M;RMW-FLP;;
R  2M;RMW-FLP;;
R  3M;RMW-FLP;;
RQMW;RMW-FLP;;
YFRML;RMW-FLP;;
F004E;RMW_G-FLP;;
FLP;RMW_G-104-FBL;;
F191B;FLP-FBL;;
F290A;FLP-FBL;;
F193A;FLP-FBL;;
F292C;FLP-FBL;;
F294B;FLP-FBL;;
FBUP;FLP-1-FBL;;
F195A;FLP-FBL;;
F199B;FLP-FBL;;
F296C;FLP-FBL;;
FBST;FLP-1-FBL;;
F197A;FLP-FBL;;
F298C;FLP-FBL;;
FBL;FLP-202-FGRO;;
F291B;FBL-FGRO;;
F392A;FBL-FGRO;;
FGRO;FBL-302-FGHM;;
F491B;FGRO-FGHM;;
F490A;FGRO-FGHM;;
FGHM;FBL-402-FDG;;
F493B;FGHM-FBBM;;
F590A;FGHM-FBBM;;
FBBM;FGHM-502-FGE;;
F591A;FBBM-FGE;;
F592A;FBBM-FGE;;
FSTR;FBBM-FGE;;
FGE;FBBM-3-FDG;;
F793A;FGE-FDG;;
F796A;FGE-FDG;;
FLW;FGE-1-FDG;;
F795A;FGE-FDG;;
F798A;FGE-FDG;;
F925A;FGE-FDG;;
F924B;FGE-FDG;;
FDOH;FGE-2-FDG;;
F927B;FGE-FDG;;
F926B;FGE-FDG;;
F928B;FGE-FDG;;
FDG;FGE-902-FGER;;
FGER;FDG-2-FNU;;
F822A;FGER-FNU;;
F821A;FGER-FNU;;
FNU;FGER-1-FMB;;
F818A;FNU-FMB_A;;
F817A;FNU-FMB_A;;
F816A;FNU-FMB_A;;
F815A;FNU-FMB_A;;
F814A;FNU-FMB_A;;
F813A;FNU-FMB_A;;
FMB A;FNU-FMB_O-3525-2;;
FMB O;;FMB_A-641-FMB_M-3525-2;FMB_A-641-FMB_M-3525-2
