RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
RKR;;RKDUs-107/493-RBRU;RKDUs-107/493-RBRU
RBRU;RKR-RRA 8;;
RETL;RK-N 2-RRA;;
RBRH;RK-RRA;;
R  1R;RK-RRA;;
R101R;RK-RRA;;
R  2R;RK-RRA;;
R102R;RK-RRA;;
R  3R;RK-RRA;;
R  4R;RK-RRA;;
R  5R;RK-RRA;;
R105R;RK-RRA;;
R  6R;RK-RRA;;
R106R;RK-RRA;;
RMS;RK-RRA;;
RMU;RK-N202-RRA;;
R  7R;RK-RRA;;
RRA;RMU-N 3-RAP;;
R 19R;RRA-RAP;;
R 18R;RRA-RAP;;
R121K;RRA-RAP*1;;
R 21K;RRA-RAP;;
R 20K;RRA-RAP;;
RRAS;RRA-RAP RTB;;
RHEB;RRA-RBB;;
R 25R;RRA-RAP;;
R 24K;RRA-RAP;;
RBB;B-N3-RAP R;;
R 31R;RRA-RAP;;
RSZN;RRA-RAP;;
R 30B;RRA-RAP;;
R 33R;RRA-RAP;;
R133R;RRA-RAP;;
RSZM;RRA-RAP;;
R 32R;RRA-RAP;;
R 35B;RRA-RAP;;
RBBL;RRA-RAP;;
R134B;RRA-RAP;;
R 34R;RRA-RAP;;
R 37R;RRA-RAP;;
R 36R;RRA-RAP;;
RBUE;RRA-RAP;;
ROW;RRA R-N2-RAP R;;
R 43O;RRA-RAP;;
R 42O;RRA-RAP;;
RAH;RRA-503-RAP;;
R 47R;RRA-RAP;;
R 46R;RRA-RAP;;
R 49R;RRA-RAP;;
R149A;RRA-RAP;;
R 48R;RRA-RAP;;
R148A;RRA-RAP;;
RR;RRA-RAP;;
R 51R;RRA-RAP;;
R 50R;RRA-RAP;;
R 53R;RRA-RAP;;
R 52R;RRA-RAP;;
RAPR;RRA R-RAP R;;
RAP;RRA R-N 2-RO R;;
RAPM;RO R-RO R;;
RWAE;RAP-ROG;;
ROG E;RWAe-ROG A;;
ROG A;;RO N-R 27 RO;RO N-R 27 RO
