RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
TK  N;;TK O-86-TLU;TK O-86-TLU
TLU;TK N-1-TBM/F;;
TAX;TS/F-5-TBM/F;;
T378V;TS-TBM;;
TTM;TS/F-4/9H-TBM/F;;
T268V;TS-TBM;;
TBM;TS/F-7-TM;;
TBME;TBM-TM;;
T231V;TBM-TM;;
T232V;TBM-TM;;
T233V;TBM-TM;;
T234V;TBM-TM;;
TSA;TBM-4-TM;;
T252V;TBM-TM;;
T251V;TBM-TM;;
TSER;TBM-TM;;
YTTSE;TBM-TV;;
TAIB;TBM-TM;;
TV;TBM-8-TM;;
TIL;TBM-TM;;
T419M;TBM-TM;;
T421M;TBM-TM;;
T414M;TBM-TM;;
T416M;TBM-TM;;
T423M;TBM-TM;;
T425M;TBM-TM;;
T418M;TBM-TM;;
T420M;TBM-TM;;
TMRO;TBM-TM;;
TM;TBM-5/32-RBT;;
TM  N;TBM-32-RBT;;
TOET;TM-RBT;;
T503M;TM-RBT;;
T502M;TM-RBT;;
TMW;TM-2-RBT;;
T152M;TM-RBT;;
T151M;TM-RBT;;
T154M;TM-RBT;;
TOED;TM-RBT;;
T153M;TM-RBT;;
TKNK;TM-RBT;;
T156M;TM-RBT;;
T155M;TM-RBT;;
T158M;TM-RBT;;
RBTI;TM-RBT;;
T157M;TM-RBT;;
T160M;TM-RBT;;
RBTN;TM-RBT;;
RBT;TM-P 4-RBR;;
RBTD;RBT-RBR;;
R1596;RBT-RBR;;
R1588;RBT-RBR;;
R1593;RBT-RBR;;
R1599;RBT-RBR;;
RGO;RBT-RBR;;
RGOS;RBT-RBR;;
R1586;RBT-RBR;;
R1591;RBT-RBR;;
RHSM;RBT-RBR;;
R1594;RBT-RBR;;
R1584;RBT-RBR;;
R1597;RBT-RBR;;
R1589;RBT-RBR;;
RHI;RBT-RBR;;
RHIO;RBT-RBR;;
R1592;RBT-RBR;;
R1582;RBT-RBR;;
R1587;RBT-RBR;;
R1595;RBT-RBR;;
RBRF;RBT-RBR;;
RBRE;RBT-RBR;;
RBRO;RBT-RBR;;
RBR;RBT-ZV1/P 1-RGN 6;;
RBRP;RBR-RGN;;
RBRL;RBR-RGN;;
R3751;RBR-RGN;;
RBMT;RBR-RGN;;
R3752;RBR-RGN;;
RKF;RBR-RGN;;
R3753;RBR-RGN;;
R3754;RBR-RGN;;
RGN;RBR-P 4-RMZ R;;
R326G;RGN-RSZ;;
R325G;RGN-RSZ;;
RMZ;RGN-RSZ RTB;;
R222G;RGN-RSZ;;
RWI;RGN-RSZ;;
R221G;RGN-RSZ;;
RWG;RGN-P 2-RSZ;;
R520G;RGN-RHK;;
R519G;RGN-RHK;;
R548G;RGN-RHK;;
R518G;RGN-RHK;;
R517G;RGN-RHK;;
R547G;RGN-RHK;;
RNL;RGN-RHK;;
RHK;RWG G-401-RSZ;;
R316G;RHK-RM;;
R315G;RHK-RM;;
RSZ S;RHK-RSZ;;
ROFH;RHK-RSZ;;
RSZ;RHK-P10-RMF;;
R242S;RSZ-RMF;;
R243S;RSZ-RMF;;
R241S;RSZ-RMF;;
RZHB;RSZ-RMR;;
RMR D;RSZ-RMR E;;
RMR M;;RSZ-500/101-RM;RSZ-500/101-RM
