RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
RKR;;RBRU-406/106-RKDUs;RBRU-406/106-RKDUs
RKDU;RKR-P 2-TWL;;
RGZ;RK-N 4-TWL;;
R 41K;RK-TWL;;
R 42K;RK-TWL;;
RSLZ;RK-TWL;;
RSLR;RK-TWL;;
RSL;RK-TWL;;
R 45K;RK-TWL;;
RSLA;RK-TWL;;
R 46K;RK-TWL;;
RKBA;RK-TWL;;
TWL;RK-N401-TM;;
TKB;RK-TM;;
T531M;RK-TM;;
T532M;RK-TM;;
TBIL;RK-TM;;
T541M;RK-TM;;
T543M;RK-TM;;
TERW;RK-TM;;
T542M;RK-TM;;
T544P;RK-TM;;
TERS;RK-TM;;
T551M;RK-TM;;
TIP;RK-TM;;
T552M;RK-TM;;
TPH;RK-3-TM;;
T601M;RK-TM;;
T611M;RK-TM;;
T602M;RK-TM;;
TEB;RK-TM;;
TNF;RK-TM;;
T603M;RK-TM;;
T614M;RK-TM;;
T604M;RK-TM;;
TEZ;RK-TM;;
TM  S;RK-S72-TBM;;
TM;RK-S71/S72-1-TBM;;
TMRO;TM-TBM;;
T420M;TM-TBM;;
T418M;TM-TBM;;
T425M;TM-TBM;;
T423M;TM-TBM;;
T416M;TM-TBM;;
T414M;TM-TBM;;
T421M;TM-TBM;;
T419M;TM-TBM;;
TIL;TM-TBM;;
TV;TM-1-TBM;;
TAIB;TM-TBM;;
YTTSE;TV-TBM;;
TSER;TM-TBM;;
T251V;TM-TBM;;
T252V;TM-TBM;;
TSA;TM-2-TBM;;
T234V;TM-TBM;;
T233V;TM-TBM;;
T232V;TM-TBM;;
T231V;TM-TBM;;
TBME;TM-TBM;;
TBM;TM-4-TS/F;;
T268V;TBM-TS;;
TTM;TBM/F-1-TS/F;;
T378V;TBM-TS;;
TAX;TBM/F-2-TS/F;;
TLU;TBM/F-55-TK W;;
TK  W;;TLU-10;TLU-10
