RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
RMR D;RMR M-RH;;
RMFE;RMR-RH;;
RMFS;RM-RH;;
R955H;RM-RH;;
R956H;RM-RH;;
R957H;RM-RH;;
R958H;RM-RH;;
RHBW;RM-RH;;
RHBP;RM-RH;;
R1287;RM-RH;;
R1289;RM-RH;;
R1286;RM-RH;;
RH;RM-R7/ZS3-RNZ;;
RHBF;RH-N3-RNZ;;
R3045;RH-RNZ;;
R3044;RH-RNZ;;
RHKA;RH-N202-RNZ 4;;
RSR;RH-RNZ;;
R683H;RH-RNZ;;
R684H;RH-RNZ;;
RHBO;RH-RNZ;;
R685H;RH-RNZ;;
R686H;RH-RNZ;;
RNM;RH-N 2-RNZ;;
RNMA;RH-RNZ;;
RQNM;RH-RNZ;;
R 12H;RH-RNZ;;
RNT;RH-RNZ;;
R 11H;RH-RNZ;;
RNH;RH-RNZ;;
RHO;RH-N 1-RNZ;;
RQHO;RH-RNZ;;
REA;RH-N 1-RNZ;;
R115E;RH-RNZ;;
R116E;RH-RNZ;;
RLID;RH-RNZ;;
RZW;RH-N102-RNZ;;
RNA;RH-RNZ;;
R117E;RH-RNZ;;
R118E;RH-RNZ;;
RBIN;RH-RNZ;;
RNZ;RH-N 2-TBF;;
RNEZ;RNZ-N 22-TBF;;
RHAS;RNZ-TBF;;
RGUN;RNZ-N 2-TBF;;
R101E;RNZ-TBF;;
R102E;RNZ-TBF;;
ROU;RNZ-TBF;;
TBF S;RH - TBF;;
TBF;RNZ-5-TH;;
TBFS;TO-TH;;
TBKA;TO-TH;;
TBK;TO-TH;;
T 17O;TO-TH;;
T 18O;TO-TH;;
TN;TO-2-TH;;
T 14H;TO-TH;;
T 13H;TO-TH;;
THST;TO-TH;;
TH;TO-4-TBM;;
TH  G;TH-41-TBM;;
TH  S;TH-141-TBM;;
TH  K;TH-241-TBM;;
T 54H;TH-TBM;;
T 53H;TH-TBM;;
TNO;TH-TBM;;
T 52H;TH-TBM;;
T 51H;TH-TBM;;
TLN;TH-3-TBM;;
T299H;TH-TBM;;
T298H;TH-TBM;;
TKM;TH-TBM;;
TKMA;TH-TBM*1;;
TWH;TH-2-TBM;;
TBEA;TH-1-TBM*1;;
TBE;TH-TBM;;
T294H;TH-TBM;;
T293H;TH-TBM;;
TBM;TH-8-TS/F;;
T268V;TBM-TS;;
TTM;TBM/F-1-TS/F;;
T378V;TBM-TS;;
TAX;TBM/F-2-TS/F;;
TLU;TBM/F-55-TK W;;
TK  W;TLU-8;;
