RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
RKR;;RBRU-406/106-RKDUs;RBRU-406/106-RKDUs
RKDU;RKR-P 2-RBR;;
R3874;RK-RBR;;
R3875;RK-RBR;;
R3878;RK-RBR;;
R3872;RK-RBR;;
R3873;RK-RBR;;
R3879;RK-RBR;;
R3870;RK-RBR;;
R3871;RK-RBR;;
RWGT;RK-301-RBR;;
R3866;RK-RBR;;
R3867;RK-RBR;;
R3864;RK-RBR;;
R3865;RK-RBR;;
RURB;RK-RBR;;
R3868;RK-RBR;;
R3862;RK-RBR;;
R3769;RK-RBR;;
R3763;RK-RBR;;
R3760;RK-RBR;;
RBRZ;RK-RBR 18sek;;
R3761;RK-RBR;;
RBR;RK-P 3-RH;;
RBRR;RBR-RH;;
RUWA;RBR-RH;;
RUW;RBR-RH;;
R320H;RBR-RH;;
R319H;RBR-RH;;
RBS;RBR-P 1-RH;;
R3422;RBR-RH;;
R3423;RBR-RH;;
RBSK;RBR-RH;;
R3429;RBR-RH;;
R3421;RBR-RH;;
RRM;RBR-202-RH;;
R3420;RBR-RH;;
R3317;RBR-RH;;
RWS;RBR-P 1-RH;;
R3316;RBR-RH;;
R3315;RBR-RH;;
R3318;RBR-RH;;
R3314;RBR-RH;;
R3319;RBR-RH;;
R3313;RBR-RH;;
RSIG;RBR-RH;;
R3312;RBR-RH;;
R3310;RBR-RH;;
R3311;RBR-RH;;
RHKM;RBR-P102-RH;;
RH;RK-ZV 8-RM;;
R1286;RH-RM;;
R1289;RH-RM;;
R1287;RH-RM;;
RHBP;RH-RM;;
RHBW;RH-RWE;;
R856H;RH-RWE;;
R855H;RH-RWE;;
RMF;;RH-P 2-RWE;RH-P 2-RWE
