RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EHRBN;;EHRBR-860-875-E 32B(2920);EHRBR-860-875-E 32B(2920)
E 32B;EHRBN-EFMK;;
ERDB;EHRBN-EFMK;;
E 31M;EHRBN-EFMK;;
EFMK;EHRB-ELEC;;
EBCK;EFMK-2-ELEC;;
E21A;EFMK-ELEC;;
E22A;EFMK-ELEC;;
EMES;EFMK-2-ELEC;;
EDRS;EFMK-ELEC;;
E622A;EFMK-ELEC;;
E621A;EFMK-ELEC;;
ERIK;EFMK-601-ELEC;;
E641;EFMK-ELEC;;
E642;EFMK-ELEC;;
EHIT;EFMK-551-ELEC;;
ELEC;EFMK(2931)-EMSTG(2931);;
EMSTG;ELEC(2931)-254-EMSTP(2931);;
EMSTP;EMSTG(2931)-04-ENHF(2931);;
E451;EMSTP-ENHF;;
E452;EMSTP-ENHF;;
ENHF;EMST-483-HR;;
ESPR;ENHF-HR;;
E907G;ENHF-HR;;
E906S;ENHF-HR;;
EGRV;ENHF-901-HR;;
ERFE;ENHF-201-HR;;
EEDA;ENHF-HR;;
E809;ENHF-HR;;
EEDT;ENHF-2-HR;;
YEHEM;ENHF-HR;;
H11R;YEHEM-HMSU;;
HMSU;EEDT-HR;;
H12R;HMSU-HR;;
HR;EEDT-3-HSAL;;
H2013;HR-HSAL;;
H2024;HR-HSAL;;
H2014;HR-HSAL;;
HQR;HR-HSAL;;
H05RS;HR-HSAL;;
H06SR;HR-HSAL;;
HSAL;HR-4II-HLAT;;
HEM;HSAL-HHKF;;
HLED;HR-1-HLAT;;
HHKF;HR-1-HLAT;;
HFAS;HR-HLAT;;
HLIG;HR-2-HLAT;;
HLIS;HR-HLAT;;
HHOHA;HR-HLAT;;
HGEE;HR-HLAT;;
H01GM;HR-HLAT;;
H02ML;HR-HLAT;;
HMEP;HR-2-HLAT;;
H11MH;HR-HLAT;;
H12HM;HR-HLAT;;
HRWA;HR-HLAT;;
HHAR;HR-2-HLAT;;
H01HL;HR-HLAT;;
H02LH;HR-HLAT;;
HLAT;HR-2-HLEE;;
H21LD;HLAT-HLEE;;
H22DL;HLAT-HLEE;;
HDOP;HLAT-2-HLEE;;
HLE;HLAT-HLEE;;
HASD;HLAT-2-HLEE;;
HPAP;HLAT-1-HLEE;;
HIHV;HLAT-1-HLEE;;
H01PL;HLAT-HE R;;
H02LP;HLAT-HE R;;
HLEEA;HIHV-HLEEP;;
HLEEP;HLAT-102-HLEE;;
HLEE;HLAT-002-HE;;
HNM;HLEE-HE;;
H05LO;HLEE-HE;;
H06OL;HLEE-HE;;
HODU;HLEE-2-HE;;
H351E;HLEE-HE;;
H354E;HLEE-HE;;
HER;;HLEE-140-HE;HLEE-140-HE
