RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HA;;EPD(1760)-23-HWAR(2970);EPD(1760)-23-HWAR(2970)
HAAK;HA-HWAR;;
H01AB;HA-HWAR;;
YDFAB;HA-HWAR;;
HBUK;HAAK-1-HWBD;;
H302A;HBUK-HWBD;;
H301A;HBUK-HWBD;;
H304A;HBUK-HWBD;;
H305A;HBUK-HWBD;;
H308A;HBUK-HWBD;;
H307A;HBUK-HWBD;;
H402A;HBUK-HWBD;;
H401A;HBUK-HWBD;;
H404A;HBUK-HWBD;;
H405A;HBUK-HWBD;;
H408A;HBUK-HWBD;;
HWBD;HBUK-501-HBNB;;
H011A;HWBD-HBNB;;
H012A;HWBD-HBNB;;
HBNB;HWBD-2-HWAR;;
H015A;HBNB-HWAR;;
H016A;HBNB-HWAR;;
H117A;HBNB-HWAR;;
H017A;HBNB-HWAR;;
H118B;HBNB-HWAR;;
H018A;HBNB-HWAR;;
HWAR;HBNB-13-3-FLR;;
H005A;HWAR-FLR;;
H006A;HWAR-FLR;;
HQWA;HWAR-FLR;;
FLIB;HWAR-2-FLR;;
F017A;HWAR-FLR;;
F018A;HWAR-FLR;;
FLR;HWAR-3-FHMM;;
F041A;FLR-FHMM;;
F042A;FLR-FHMM;;
FHMM;FLR-3-FHFG;;
F053A;FHMM-FHFG;;
F054A;FHMM-FHFG;;
FHFG;FHMM-2-FGSN-D1;;
F073B;FHFG-FGSN;;
F074B;FHFG-FGSN;;
FGSN;FHFG-1-FMHF;;
F093A;FGSN-FMHF;;
F094A;FGSN-FMHF;;
FIM;FGSN-FMHF;;
F101C;FGSN-FMHF;;
F102A;FGSN-FMHF;;
FMHF;FGSN-601-FOV;;
FOV;FMHF-2-FKRB;;
FKRB;FOV-FKR;;
FKR;;FKRB-351-FKW;FKRB-351-FKW
