RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HA;;HLAN-02-EPD;HLAN-02-EPD
H11AB;HA-EPD;;
H12BA;HA-EPD;;
H13AB;HA-EPD;;
H14BA;HA-EPD;;
H15AB;HA-EPD;;
H16BA;HA-EPD;;
HBNS;HA-1-EPD;;
E 402;HA-EPD;;
EPD;HA-10-ESOT;;
EPD G;EPD-13-ESOT;;
E 412;EPD-ESOT;;
E 413;EPD-ESOT;;
E 414;EPD-ESOT;;
E 415;EPD-ESOT;;
E 714;EPD-ESOT;;
ESMD;EPD-ESOT;;
E 715;EPD-ESOT;;
ESZK;EPD-702-ESOT;;
EGK;EPD-2-ESOT;;
EERI;EPD-ESOT;;
E 740;EPD-ESOT;;
E 742;EPD-ESOT;;
E 741;EPD-ESOT;;
E 743;EPD-ESOT;;
EDED;EPD-ESOT;;
ELPP;EPD-1-ESOT;;
ELPPG;EPD-31-ESOT;;
E 744;EPD-ESOT;;
EBEH;EPD-2-ESOT;;
E 746;EPD-ESOT;;
E 752;EPD-ESOT;;
E 747;EPD-ESOT;;
E 753;EPD-ESOT;;
E 749;EPD-ESOT;;
EBSA;EPD-ESOT;;
E 748;EPD-ESOT;;
ESOT;EPD-4-EHM;;
E802D;ESOT-EHM;;
EBOR;ESOT-EHM;;
E801D;ESOT-EHM;;
EWVA;ESOT-312-EHM;;
EWVE;ESOT-EHM;;
ERHY;ESOT-502-EHM;;
EGAB;ESOT-EHRBG;;
EHRBS;EGAB-441-EHRBW;;
EHRBW;;EHRBS-441-EHRBD(2911);EHRBS-441-EHRBD(2911)
