RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EHRBS;;EHRBW-441-EGAB;EHRBW-441-EGAB
EGAB;EHRBG-ESOT;;
ERHY;EHM-501-ESOT;;
EWVE;EHM-ESOT;;
EWVA;EHM-ESOT;;
E801D;EHM-ESOT;;
EBOR;EHM-ESOT;;
E802D;EHM-ESOT;;
ESOT;EDO(2930)-2-EPD;;
E 748;ESOT-EPD;;
EBSA;ESOT-EPD;;
E 749;ESOT-EPD;;
E 753;ESOT-EPD;;
E 747;ESOT-EPD;;
E 752;ESOT-EPD;;
E 746;ESOT-EPD;;
EBEH;ESOT-1-EPD;;
E 744;ESOT-EPD;;
ELPPG;ESOT-32-EPD Gz;;
ELPP;ESOT-2-EPD;;
EDED;ESOT-EPD;;
E 743;ESOT-EPD;;
E 741;ESOT-EPD;;
E 742;ESOT-EPD;;
E 740;ESOT-EPD;;
EERI;ESOT-EPD;;
EGK;ESOT-1-EPD;;
ESZK;ESOT-701-EPD;;
E 715;ESOT-EPD;;
ESMD;ESOT-EPD;;
E 714;ESOT-EPD;;
E 415;ESOT-EPD;;
E 414;ESOT-EPD;;
E 413;ESOT-EPD;;
E 412;ESOT-EPD;;
EPD G;ESOT-24-EPD;;
EPD;ESOT-20-HA;;
E 402;EPD-HA;;
HBNS;EPD-3-HA;;
H16BA;EPD-HA;;
H15AB;EPD-HA;;
H14BA;EPD-HA;;
H13AB;EPD-HA;;
H12BA;EPD-HA;;
H11AB;EPD-HA;;
HA;;EPD(1760)-23-HWAR(2970);EPD(1760)-23-HWAR(2970)
