RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EOBRM;;EOBRO68-EOBRW47;EOBRO68-EOBRW47
EOBRW;OBRM(47)-OBRS;;
EOBRS;OBRW-DMO;;
EDMO;EOBRS-EDME;;
E 182;EMAF-KMEE;;
EDME;EMAF-KMEE;;
E 189;EMAF-KMEE;;
EDBG;EMAF-2-KMEE;;
E902M;EMAF-KMEE;;
E901B;EMAF-KMEE;;
KMEE;EDMO-3-KRH;;
KMO;KX-202-KRH(2330-2);;
KMO G;KMEE-2-KRH;;
KTR;KMEE-4-KMUH 9;;
E804T;KTR-E803;;
E803;E804T-E802T;;
KMUH;KTR-KKRU;;
KKRU;KMUH-3-KKRL;;
KKRL;KKRU-4-KWEB;;
KBMW;KKRU-KWEB;;
KLOC;KKRU-KWEB;;
E 4KM;KLOC-KWEB;;
E 3MK;KLOC-KWEB;;
KMBO;KLOC-KWEB;;
E 202;KLOC-KWEB;;
E 201;KLOC-KWEB;;
KWEB;KLOC-2-KN O;;
KN  O;KWEB-4-KNOKA 8;;
KNOKA;KN O-KKWO;;
KNSD;KNOKA-KKWO;;
E 314;KNOKA-KKWO;;
E 313;KNOKA-KKWO;;
E 311;KNOKA-KKWO;;
E 312;KNOKA-KKWO;;
E 309;KNOKA-KKWO;;
KNO;KNOKA-1-KKWO;;
E 284;KNOKA-KKWO;;
KNAL;KNOKA-KKWO;;
E 281;KNOKA-KKWO;;
E 282;KNOKA-KKWO;;
KNIV;KNOKA-12-KKWO;;
KDO;KNOKA-2-KKWO;;
E 545;KNOKA-KKWO;;
E544B;KNOKA-KKWO;;
KDBWN;KNOKA- KKWO;;
E 546;KNOKA-KKWO;;
E543D;KNOKA-KKWO;;
KDBW;KNOKA-KKWO;;
KKWO;KNOKA-404-KKN(2610) Dwre;;
E534W;KN O-KKL;;
E533W;KN O-KKL;;
KKL;KNOKA(2610)-806-KKN(2615);;
KKN F;KKL-202-KKN;;
KKN E;KKN F-KKN A;;
KKNA;KKEZ-KKW;;
KKW F;;KKNA-3-KKW S;KKNA-3-KKW S
