RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
ESIG;;EKT-701-FHG;EKT-701-FHG
ESIS;ESIG-FHG;;
ENDI;ESIG-802-FHG;;
ERUD;ESIG-901-FHG;;
EQRU;ESIG-FHG;;
E052R;ESIG-FHG;;
E051H;ESIG-FHG;;
FDBT;ESIG-FHG;;
E053H;ESIG-FHG;;
E054R;ESIG-FHG;;
FRB;ESIG-FHG;;
FHG;ESIG-3-FDIL;;
YDFHS;FHG-FDIL;;
F056A;FHG-FDIL;;
FSN;FHG-1-FDIL;;
F055A;FHG-FDIL;;
F058A;FHG-FDIL;;
FDIL;FHG-3-103-FDILS;;
FDILS;FDIL-3-103-FHRB;;
FNDS;FDILS-1-FHRB;;
F061B;FDILS-FHRB;;
F062B;FDILS-FHRB;;
FBUN;FDILS-1-FHRB;;
FHRB;FDILS-1-FSI;;
FSI;FHRB-2-FEHR;;
FEDI;FSI-1-FEHR;;
F071A;FSI-FEHR;;
FKFT;FSI-1-FEHR;;
F072A;FSI-FEHR;;
FEHR;FSI-2-FAL;;
FWDF;FSI-2-FAL;;
F073A;FEHR-FAL;;
F074A;FEHR-FAL;;
FAL;FEHR-306-FWR;;
FWR;FAL-5-FWR_G-D1;;
FWR G;FWR-246-FDTH;;
F296A;FWR_G-FDTH;;
F297A;FWR_G-FDTH;;
F298A;FWR_G-FDTH;;
F299A;FWR_G-FDTH;;
FDTH;FWR_G-1-FGB;;
FGB;;FDTH-220-FGL;FDTH-220-FGL
